# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52206
# UID: becd20e6-d9eb-4068-b420-40064344186f
# Comment: 
# Start time: 07/18/2022  09:50:57
# Stop time: 07/18/2022  09:51:29
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 89.80 sccm N2 + 210.20 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 0.00 mm Vertical: -20.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11382.050629 4.801870e-01 5.574090e-01 6.474572e-01 1.617637e-02 -2.062100e-05 -2.094311e-05 2.838416e-05 -4.739269e-06
11387.050629 9.506108e-01 1.103999e+00 1.284853e+00 3.197312e-02 -4.096476e-05 -4.212829e-05 5.385265e-05 -9.923044e-06
11392.050629 9.556872e-01 1.110921e+00 1.296200e+00 3.224087e-02 -4.562606e-05 -5.505842e-05 5.304340e-05 -1.642488e-05
11397.050629 9.512739e-01 1.106791e+00 1.294667e+00 3.210561e-02 -4.951071e-05 -5.251855e-05 5.902023e-05 -1.639824e-05
11402.050629 9.504826e-01 1.106697e+00 1.298089e+00 3.207183e-02 -4.541348e-05 -4.160665e-05 5.275374e-05 -1.194747e-05
11407.050629 9.484851e-01 1.105321e+00 1.299735e+00 3.224285e-02 -4.050215e-05 -4.266630e-05 5.692196e-05 -1.398320e-05
11412.050629 9.491339e-01 1.107006e+00 1.305223e+00 3.223255e-02 -4.607346e-05 -4.864369e-05 5.181468e-05 -2.166080e-05
11417.050629 9.484575e-01 1.107046e+00 1.308896e+00 3.212947e-02 -4.182692e-05 -4.477708e-05 5.219338e-05 -2.038603e-05
11422.050629 9.453644e-01 1.104615e+00 1.309324e+00 3.213057e-02 -4.879109e-05 -4.379142e-05 5.381928e-05 -2.532944e-05
11427.050629 9.293694e-01 1.087541e+00 1.291691e+00 3.163529e-02 -4.808027e-05 -4.731225e-05 5.398097e-05 -2.318731e-05
11432.050629 9.414203e-01 1.102000e+00 1.312925e+00 3.223341e-02 -4.760957e-05 -4.158885e-05 5.616306e-05 -1.604290e-05
11437.050629 9.425694e-01 1.104282e+00 1.319248e+00 3.222780e-02 -5.223789e-05 -5.097908e-05 5.291326e-05 -2.758986e-05
11442.050629 9.399520e-01 1.102352e+00 1.320177e+00 3.214555e-02 -5.418844e-05 -4.974669e-05 5.451952e-05 -2.808009e-05
11447.050629 9.376053e-01 1.100676e+00 1.321511e+00 3.214979e-02 -4.748979e-05 -4.846762e-05 5.663693e-05 -3.384078e-05
11452.050629 9.371547e-01 1.101053e+00 1.325585e+00 3.217275e-02 -4.461995e-05 -3.869925e-05 5.814271e-05 -3.751310e-05
11457.050629 9.379605e-01 1.103024e+00 1.331231e+00 3.233071e-02 -5.254138e-05 -3.966534e-05 6.343824e-05 -4.563963e-05
11462.050629 9.348649e-01 1.100325e+00 1.331214e+00 3.208364e-02 -5.589017e-05 -4.254840e-05 6.575764e-05 -3.226560e-05
11467.050629 9.332347e-01 1.099483e+00 1.333154e+00 3.209619e-02 -5.404169e-05 -5.030038e-05 5.363836e-05 -2.322784e-05
11472.050629 9.330851e-01 1.100129e+00 1.336960e+00 3.214988e-02 -5.370560e-05 -5.144693e-05 5.655912e-05 -1.802638e-05
11477.050629 9.305787e-01 1.098334e+00 1.337732e+00 3.205567e-02 -4.677313e-05 -4.883577e-05 4.629421e-05 -1.181836e-05
11482.050629 9.295682e-01 1.098144e+00 1.340392e+00 3.201998e-02 -4.985785e-05 -4.859934e-05 3.725666e-05 -7.160377e-06
11487.050629 9.279600e-01 1.097314e+00 1.342160e+00 3.210299e-02 -4.871035e-05 -4.332474e-05 4.188086e-05 -3.852232e-06
11492.050629 9.153987e-01 1.083885e+00 1.327640e+00 3.167393e-02 -4.988965e-05 -3.986699e-05 3.715529e-05 5.592928e-06
11497.050629 9.204084e-01 1.090565e+00 1.338666e+00 3.168672e-02 -4.030648e-05 -3.030952e-05 4.308427e-05 -7.513376e-07
11502.050629 9.293351e-01 1.101641e+00 1.355323e+00 3.228355e-02 -4.357142e-05 -3.762875e-05 5.217774e-05 8.162704e-06
11507.050629 9.275328e-01 1.100534e+00 1.355663e+00 3.224064e-02 -4.339152e-05 -5.039602e-05 5.810750e-05 -5.519518e-06
11512.050629 9.258556e-01 1.099504e+00 1.355794e+00 3.206174e-02 -4.335303e-05 -6.419839e-05 5.961893e-05 1.879587e-06
11517.050629 9.253945e-01 1.100079e+00 1.357381e+00 3.220167e-02 -3.767633e-05 -6.262675e-05 4.681156e-05 -8.606738e-06
11522.050629 9.242657e-01 1.099592e+00 1.356831e+00 3.244666e-02 -2.754573e-05 -6.187923e-05 5.368324e-05 -9.658585e-06
11527.050629 9.253497e-01 1.101883e+00 1.358572e+00 3.235353e-02 -3.419741e-05 -5.453310e-05 5.056466e-05 -1.001435e-05
11532.050629 9.247158e-01 1.102061e+00 1.355857e+00 3.248909e-02 -3.631976e-05 -4.579455e-05 5.834998e-05 -2.006253e-05
11534.000000 9.229645e-01 1.100221e+00 1.351999e+00 3.236824e-02 -3.061497e-05 -4.800785e-05 5.154074e-05 -1.638360e-05
11535.000000 9.216416e-01 1.099034e+00 1.349219e+00 3.219365e-02 -3.450748e-05 -4.896610e-05 5.379236e-05 -1.174728e-05
11536.000000 9.144804e-01 1.091069e+00 1.338084e+00 3.204973e-02 -3.190226e-05 -4.342956e-05 5.482139e-05 -1.104688e-05
11537.000000 9.225145e-01 1.100544e+00 1.348484e+00 3.205540e-02 -4.521212e-05 -4.291303e-05 4.681201e-05 -1.791086e-05
11538.000000 9.213366e-01 1.099042e+00 1.345279e+00 3.221293e-02 -4.847531e-05 -4.973861e-05 5.586941e-05 -2.159841e-05
11539.000000 9.169945e-01 1.094277e+00 1.337476e+00 3.181477e-02 -4.553821e-05 -4.373790e-05 4.839963e-05 -2.577988e-05
11540.000000 9.217499e-01 1.100001e+00 1.342717e+00 3.236636e-02 -4.611969e-05 -4.332312e-05 5.315471e-05 -1.839307e-05
11541.000000 9.260647e-01 1.105568e+00 1.347585e+00 3.311285e-02 -5.269333e-05 -3.983509e-05 5.425124e-05 -3.157583e-05
11541.200000 9.273892e-01 1.106843e+00 1.348642e+00 3.376991e-02 -5.451264e-05 -4.054080e-05 6.002125e-05 -3.187810e-05
11541.400000 9.269046e-01 1.106540e+00 1.346975e+00 3.334282e-02 -5.610696e-05 -4.521954e-05 6.061712e-05 -3.127133e-05
11541.600000 9.362896e-01 1.118228e+00 1.360765e+00 3.069901e-02 -5.392669e-05 -5.248738e-05 6.777599e-05 -1.707799e-05
11541.800000 9.083538e-01 1.084255e+00 1.320002e+00 3.210871e-02 -5.619605e-05 -4.959738e-05 6.552904e-05 -1.425315e-05
11542.000000 9.260227e-01 1.106451e+00 1.344694e+00 3.393209e-02 -6.575926e-05 -5.840502e-05 7.449173e-05 -1.127292e-05
11542.200000 9.069546e-01 1.083504e+00 1.318359e+00 3.176157e-02 -5.645313e-05 -5.861186e-05 6.972494e-05 -1.481783e-06
11542.400000 9.194637e-01 1.097371e+00 1.333898e+00 3.091979e-02 -4.661904e-05 -5.224415e-05 6.376029e-05 -1.175258e-05
11542.600000 8.991930e-01 1.073054e+00 1.303704e+00 3.192324e-02 -5.284767e-05 -3.991110e-05 5.969788e-05 -2.390264e-05
11542.800000 9.437943e-01 1.126216e+00 1.368310e+00 3.318675e-02 -5.769574e-05 -4.351525e-05 4.557431e-05 -2.370279e-05
11543.000000 9.181131e-01 1.096417e+00 1.331102e+00 3.093170e-02 -5.752779e-05 -4.536587e-05 5.802538e-05 -1.208272e-05
11543.200000 9.113413e-01 1.088598e+00 1.320688e+00 3.057771e-02 -5.827861e-05 -5.128618e-05 5.352250e-05 -1.098865e-05
11543.400000 9.271808e-01 1.107097e+00 1.341883e+00 3.303681e-02 -5.668999e-05 -4.985828e-05 5.268589e-05 -6.142920e-06
11543.600000 9.106574e-01 1.088283e+00 1.318862e+00 3.277608e-02 -4.704441e-05 -6.054312e-05 5.739711e-05 2.320491e-07
11543.800000 9.421167e-01 1.124788e+00 1.363830e+00 3.367960e-02 -4.578088e-05 -4.922293e-05 5.486050e-05 1.199366e-06
11544.000000 8.987975e-01 1.072075e+00 1.300708e+00 2.873425e-02 -5.515901e-05 -5.089706e-05 6.056704e-05 -1.685327e-05
11544.200000 9.295889e-01 1.110158e+00 1.344679e+00 3.184115e-02 -6.024830e-05 -5.371037e-05 6.194272e-05 -1.895759e-05
11544.400000 9.405153e-01 1.122900e+00 1.359370e+00 3.379452e-02 -5.332202e-05 -5.824353e-05 5.929425e-05 -8.698252e-06
11544.600000 9.199498e-01 1.098353e+00 1.329562e+00 3.126155e-02 -4.408385e-05 -4.652993e-05 7.032033e-05 -2.293677e-05
11544.800000 9.238158e-01 1.103770e+00 1.334350e+00 3.168429e-02 -4.377688e-05 -4.187344e-05 6.307695e-05 -7.420528e-06
11545.000000 9.210275e-01 1.100042e+00 1.329168e+00 3.411895e-02 -4.323521e-05 -4.861624e-05 6.041318e-05 -1.508336e-05
11545.200000 9.375211e-01 1.119805e+00 1.352474e+00 3.331876e-02 -4.665567e-05 -6.014582e-05 5.425225e-05 -1.980751e-05
11545.400000 9.095874e-01 1.087427e+00 1.312167e+00 2.973200e-02 -4.559072e-05 -5.248876e-05 3.456970e-05 -2.914349e-05
11545.600000 9.171737e-01 1.096501e+00 1.322138e+00 3.320150e-02 -4.349338e-05 -5.553962e-05 4.609951e-05 -2.141471e-05
11545.800000 8.999854e-01 1.075726e+00 1.295962e+00 3.262100e-02 -4.596603e-05 -6.015088e-05 5.433316e-05 -2.145590e-05
11546.000000 9.275864e-01 1.108005e+00 1.335110e+00 3.395790e-02 -4.405927e-05 -5.102223e-05 6.781418e-05 -1.978906e-05
11546.200000 9.318005e-01 1.112727e+00 1.340408e+00 3.206103e-02 -3.992737e-05 -5.101468e-05 5.346703e-05 -2.711196e-05
11546.400000 9.325587e-01 1.114708e+00 1.341252e+00 3.026322e-02 -4.321678e-05 -4.755522e-05 5.472232e-05 -2.617251e-05
