# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52208
# UID: 5eb115bf-4eed-4c68-b634-e9e95d8bf7e5
# Comment: 
# Start time: 07/18/2022  09:54:08
# Stop time: 07/18/2022  09:54:40
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 89.80 sccm N2 + 210.20 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 0.00 mm Vertical: -20.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.916075 4.683907e-01 5.452807e-01 6.304360e-01 1.582348e-02 -2.694301e-05 -2.647054e-05 3.276726e-05 -2.557639e-05
11382.916075 9.255997e-01 1.078225e+00 1.248858e+00 3.130597e-02 -6.040169e-05 -4.970963e-05 6.686527e-05 -5.096306e-05
11387.916075 9.310478e-01 1.085872e+00 1.260983e+00 3.155214e-02 -6.129829e-05 -4.623788e-05 7.294871e-05 -4.860036e-05
11392.916075 9.238698e-01 1.078903e+00 1.255798e+00 3.140653e-02 -5.487639e-05 -4.607307e-05 8.479069e-05 -4.211736e-05
11397.916075 9.250176e-01 1.081005e+00 1.261619e+00 3.141993e-02 -5.210726e-05 -5.038527e-05 7.530925e-05 -4.914287e-05
11402.916075 9.216992e-01 1.078277e+00 1.261713e+00 3.136234e-02 -4.544935e-05 -4.929150e-05 7.438844e-05 -3.872853e-05
11407.916075 9.230885e-01 1.080664e+00 1.267889e+00 3.141680e-02 -4.489195e-05 -5.012581e-05 6.773499e-05 -3.914319e-05
11412.916075 9.208488e-01 1.079040e+00 1.269437e+00 3.131128e-02 -5.470528e-05 -5.632080e-05 6.175491e-05 -4.174655e-05
11417.916075 9.168629e-01 1.075361e+00 1.268130e+00 3.113589e-02 -6.107613e-05 -5.563140e-05 5.647463e-05 -4.720995e-05
11422.916075 9.019148e-01 1.059493e+00 1.251985e+00 3.097144e-02 -4.928988e-05 -4.914603e-05 4.988016e-05 -5.105694e-05
11427.916075 9.131917e-01 1.073179e+00 1.272106e+00 3.142482e-02 -5.457460e-05 -5.281325e-05 5.548219e-05 -4.511748e-05
11432.916075 9.145792e-01 1.075718e+00 1.278471e+00 3.147928e-02 -5.087623e-05 -4.738814e-05 5.246394e-05 -4.471552e-05
11437.916075 9.151892e-01 1.077322e+00 1.283876e+00 3.118984e-02 -5.154611e-05 -3.976828e-05 5.591130e-05 -4.653946e-05
11442.916075 9.128416e-01 1.075553e+00 1.284960e+00 3.124249e-02 -5.582505e-05 -4.211354e-05 5.363475e-05 -5.820077e-05
11447.916075 9.102234e-01 1.073437e+00 1.285470e+00 3.126316e-02 -6.164886e-05 -4.584507e-05 6.411608e-05 -6.072962e-05
11452.916075 9.089650e-01 1.073018e+00 1.288041e+00 3.127137e-02 -5.600764e-05 -4.671530e-05 6.846374e-05 -6.179305e-05
11457.916075 9.064304e-01 1.071145e+00 1.288781e+00 3.123719e-02 -5.374789e-05 -4.870824e-05 5.950487e-05 -6.287589e-05
11462.916075 9.043248e-01 1.069560e+00 1.289969e+00 3.104610e-02 -5.955036e-05 -4.206593e-05 5.726552e-05 -5.937754e-05
11467.916075 9.063924e-01 1.072800e+00 1.297165e+00 3.137711e-02 -6.329161e-05 -3.644911e-05 6.392289e-05 -5.819502e-05
11472.916075 9.056540e-01 1.073088e+00 1.300363e+00 3.135636e-02 -5.499048e-05 -3.849703e-05 5.937229e-05 -6.554977e-05
11477.916075 9.025559e-01 1.070530e+00 1.299874e+00 3.118104e-02 -5.737780e-05 -4.476533e-05 5.899836e-05 -5.981967e-05
11482.916075 9.024220e-01 1.071431e+00 1.303697e+00 3.139861e-02 -5.643539e-05 -4.121659e-05 5.666170e-05 -5.433059e-05
11487.916075 8.917598e-01 1.060176e+00 1.292081e+00 3.095525e-02 -5.927314e-05 -3.841083e-05 5.515252e-05 -4.150853e-05
11492.916075 8.918341e-01 1.061211e+00 1.295604e+00 3.107410e-02 -5.590839e-05 -4.945133e-05 5.435558e-05 -4.159766e-05
11497.916075 9.006711e-01 1.072459e+00 1.312096e+00 3.132010e-02 -4.925938e-05 -4.098325e-05 5.143285e-05 -5.280577e-05
11502.916075 9.025257e-01 1.075462e+00 1.317714e+00 3.154428e-02 -5.964562e-05 -4.757124e-05 5.709875e-05 -4.852415e-05
