# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52209
# UID: 1eb99c42-ef38-4f7d-93fe-6c20dffd0ce3
# Comment: 
# Start time: 07/18/2022  09:54:44
# Stop time: 07/18/2022  09:55:15
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 89.80 sccm N2 + 210.20 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 0.00 mm Vertical: -20.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.873161 4.679306e-01 5.454811e-01 6.305259e-01 1.590776e-02 -1.595647e-05 -1.838789e-05 2.971749e-05 -2.392545e-05
11382.873161 9.255270e-01 1.079608e+00 1.250218e+00 3.135210e-02 -2.845701e-05 -4.180440e-05 5.657790e-05 -4.213637e-05
11387.873161 9.304962e-01 1.086395e+00 1.261324e+00 3.155961e-02 -3.134807e-05 -5.556824e-05 4.893655e-05 -4.337467e-05
11392.873161 9.245442e-01 1.080554e+00 1.257615e+00 3.141804e-02 -3.944855e-05 -5.249303e-05 5.408872e-05 -4.306203e-05
11397.873161 9.237696e-01 1.080589e+00 1.260843e+00 3.134889e-02 -3.220869e-05 -5.594224e-05 5.848465e-05 -4.803242e-05
11402.873161 9.210428e-01 1.078340e+00 1.261595e+00 3.121751e-02 -2.379718e-05 -5.503275e-05 5.770999e-05 -5.568716e-05
11407.873161 9.216000e-01 1.080013e+00 1.266836e+00 3.135428e-02 -2.969512e-05 -4.997402e-05 5.133646e-05 -5.379173e-05
11412.873161 9.188499e-01 1.077743e+00 1.267352e+00 3.142172e-02 -2.679196e-05 -5.931561e-05 3.662216e-05 -6.461025e-05
11417.873161 9.132058e-01 1.072149e+00 1.263872e+00 3.133105e-02 -2.449242e-05 -5.935062e-05 3.981425e-05 -7.353040e-05
11422.873161 9.011442e-01 1.059416e+00 1.251602e+00 3.091790e-02 -2.616380e-05 -6.093233e-05 3.854289e-05 -6.520050e-05
11427.873161 9.098185e-01 1.070206e+00 1.267972e+00 3.153869e-02 -3.297567e-05 -6.216552e-05 3.946343e-05 -6.108461e-05
11432.873161 9.132941e-01 1.074980e+00 1.277155e+00 3.140641e-02 -4.285197e-05 -5.825000e-05 5.441740e-05 -5.151036e-05
11437.873161 9.134169e-01 1.076149e+00 1.281911e+00 3.141509e-02 -3.798724e-05 -5.867600e-05 5.462072e-05 -5.882388e-05
11442.873161 9.123291e-01 1.075769e+00 1.284730e+00 3.148691e-02 -3.215374e-05 -5.909203e-05 5.748126e-05 -5.125091e-05
11447.873161 9.100685e-01 1.074174e+00 1.285920e+00 3.119937e-02 -2.841382e-05 -6.191439e-05 4.192788e-05 -4.557578e-05
11452.873161 9.062076e-01 1.070570e+00 1.284775e+00 3.119213e-02 -2.846499e-05 -6.963027e-05 3.380033e-05 -4.652126e-05
11457.873161 9.051781e-01 1.070334e+00 1.287507e+00 3.130817e-02 -2.813617e-05 -6.708820e-05 4.389607e-05 -5.186657e-05
11462.873161 9.048873e-01 1.070958e+00 1.291308e+00 3.137686e-02 -3.324922e-05 -6.459222e-05 4.513636e-05 -5.870466e-05
11467.873161 9.027491e-01 1.069460e+00 1.292382e+00 3.134051e-02 -2.819938e-05 -6.771892e-05 4.956890e-05 -5.264633e-05
11472.873161 9.033824e-01 1.071117e+00 1.297486e+00 3.106110e-02 -2.437874e-05 -5.924287e-05 5.773354e-05 -4.808083e-05
11477.873161 9.020627e-01 1.070542e+00 1.299407e+00 3.102284e-02 -2.460446e-05 -5.916444e-05 5.425032e-05 -4.455367e-05
11482.873161 9.015196e-01 1.070679e+00 1.302584e+00 3.127657e-02 -2.400179e-05 -6.907694e-05 4.516324e-05 -4.495383e-05
11487.873161 8.887699e-01 1.057081e+00 1.287942e+00 3.085805e-02 -2.456490e-05 -6.788834e-05 5.226751e-05 -4.379860e-05
11492.873161 8.883379e-01 1.057517e+00 1.290625e+00 3.092444e-02 -3.236126e-05 -6.512468e-05 5.174408e-05 -3.927569e-05
11497.873161 9.001703e-01 1.072015e+00 1.311090e+00 3.134039e-02 -3.732864e-05 -5.138948e-05 4.452691e-05 -4.433399e-05
11502.873161 8.991314e-01 1.071739e+00 1.312584e+00 3.136257e-02 -3.770315e-05 -5.545826e-05 4.380644e-05 -4.707098e-05
11507.873161 8.990758e-01 1.072528e+00 1.314912e+00 3.137690e-02 -3.612423e-05 -5.551637e-05 5.460755e-05 -4.100297e-05
11512.873161 8.967020e-01 1.070710e+00 1.313340e+00 3.136664e-02 -2.972535e-05 -5.890711e-05 5.560154e-05 -3.499300e-05
11517.873161 8.974181e-01 1.072556e+00 1.315788e+00 3.130531e-02 -2.747688e-05 -5.789845e-05 6.254045e-05 -3.391169e-05
11522.873161 8.971542e-01 1.073201e+00 1.315357e+00 3.140255e-02 -4.675500e-05 -5.252193e-05 6.374177e-05 -3.275854e-05
11527.873161 8.952312e-01 1.071779e+00 1.310763e+00 3.139523e-02 -4.687030e-05 -5.054973e-05 7.201925e-05 -3.209353e-05
11532.873161 8.945205e-01 1.072031e+00 1.305755e+00 3.127223e-02 -5.223420e-05 -5.436623e-05 6.330935e-05 -3.905308e-05
11534.000000 8.926765e-01 1.070132e+00 1.301614e+00 3.141341e-02 -5.552237e-05 -5.376444e-05 6.225954e-05 -3.681690e-05
11535.000000 8.915208e-01 1.068794e+00 1.298423e+00 3.124401e-02 -6.136853e-05 -4.940820e-05 5.687127e-05 -3.916857e-05
11536.000000 8.944426e-01 1.072310e+00 1.301095e+00 3.176414e-02 -6.970627e-05 -5.015210e-05 6.052962e-05 -4.634167e-05
