# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52210
# UID: 9323e9e7-12c0-4240-91ff-5d6dc4a09b0e
# Comment: 
# Start time: 07/18/2022  09:55:19
# Stop time: 07/18/2022  09:55:51
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 89.80 sccm N2 + 210.20 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 0.00 mm Vertical: -20.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.830247 4.679678e-01 5.454972e-01 6.299726e-01 1.587827e-02 -1.450846e-05 -2.207830e-05 3.184703e-05 -3.227118e-05
11382.830247 9.239520e-01 1.077780e+00 1.246904e+00 3.138495e-02 -3.104694e-05 -4.011043e-05 5.698461e-05 -6.231633e-05
11387.830247 9.285807e-01 1.084263e+00 1.257542e+00 3.151592e-02 -2.633541e-05 -4.633084e-05 5.455930e-05 -6.336529e-05
11392.830247 9.230180e-01 1.078849e+00 1.254296e+00 3.127151e-02 -1.705529e-05 -4.781615e-05 5.562426e-05 -5.404337e-05
11397.830247 9.222913e-01 1.078948e+00 1.257659e+00 3.139027e-02 -1.944296e-05 -4.151883e-05 5.381852e-05 -6.229044e-05
11402.830247 9.204351e-01 1.077702e+00 1.259322e+00 3.118568e-02 -1.296270e-05 -3.742113e-05 5.241523e-05 -5.871096e-05
11407.830247 9.205808e-01 1.078752e+00 1.264031e+00 3.129871e-02 -1.788860e-05 -3.211093e-05 5.753707e-05 -6.410676e-05
11412.830247 9.178917e-01 1.076681e+00 1.264769e+00 3.152461e-02 -2.169911e-05 -4.006078e-05 5.625366e-05 -6.173543e-05
11417.830247 9.156865e-01 1.074913e+00 1.266015e+00 3.122476e-02 -2.370294e-05 -3.791402e-05 6.212701e-05 -5.760976e-05
11422.830247 9.009513e-01 1.059106e+00 1.250067e+00 3.089270e-02 -2.731131e-05 -4.920518e-05 6.619389e-05 -4.957185e-05
11427.830247 9.110153e-01 1.071506e+00 1.268511e+00 3.112340e-02 -2.230688e-05 -5.001475e-05 5.896089e-05 -4.908575e-05
