# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52211
# UID: c04e67fa-1818-4b4a-b549-2114a1923371
# Comment: 
# Start time: 07/18/2022  09:55:54
# Stop time: 07/18/2022  09:56:26
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 89.80 sccm N2 + 210.20 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 0.00 mm Vertical: -20.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.787333 4.696752e-01 5.476722e-01 6.324471e-01 1.597839e-02 -1.335360e-05 -2.364778e-05 2.781427e-05 -3.867220e-05
11382.787333 9.287548e-01 1.083609e+00 1.253599e+00 3.164924e-02 -3.218317e-05 -5.337272e-05 5.609453e-05 -7.368965e-05
11387.787333 9.333874e-01 1.090048e+00 1.264368e+00 3.185681e-02 -3.081782e-05 -4.813212e-05 5.483183e-05 -7.301784e-05
11392.787333 9.275863e-01 1.084557e+00 1.260916e+00 3.155447e-02 -1.854571e-05 -4.956420e-05 5.308373e-05 -7.035381e-05
11397.787333 9.262439e-01 1.083917e+00 1.263559e+00 3.153598e-02 -1.110314e-05 -4.754740e-05 5.163493e-05 -7.359295e-05
11402.787333 9.235737e-01 1.081706e+00 1.264155e+00 3.162470e-02 -1.983038e-05 -5.101957e-05 5.284278e-05 -8.848061e-05
11407.787333 9.256641e-01 1.085066e+00 1.271646e+00 3.167871e-02 -1.599313e-05 -4.384826e-05 4.962245e-05 -9.166689e-05
11412.787333 9.226880e-01 1.082468e+00 1.271742e+00 3.171136e-02 -1.762075e-05 -4.261750e-05 5.051427e-05 -8.840810e-05
11417.787333 9.202473e-01 1.080625e+00 1.272913e+00 3.151761e-02 -2.563226e-05 -4.068549e-05 5.161972e-05 -7.799823e-05
11422.787333 9.042507e-01 1.063492e+00 1.255281e+00 3.112501e-02 -2.662861e-05 -4.199633e-05 4.261763e-05 -7.444328e-05
