# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52212
# UID: 73ae3bb5-3724-4aad-9d89-91e71bc3a1ee
# Comment: 
# Start time: 07/18/2022  09:56:29
# Stop time: 07/18/2022  09:57:01
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 89.80 sccm N2 + 210.20 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 0.00 mm Vertical: -20.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.744420 4.691057e-01 5.469621e-01 6.313379e-01 1.597534e-02 -3.219229e-05 -2.868869e-05 2.102078e-05 -4.562582e-05
11382.744420 9.271059e-01 1.081607e+00 1.250750e+00 3.152291e-02 -6.089617e-05 -5.908211e-05 4.805717e-05 -9.551797e-05
11387.744420 9.313227e-01 1.087488e+00 1.260886e+00 3.176840e-02 -5.359665e-05 -5.544814e-05 5.628779e-05 -9.268767e-05
11392.744420 9.259393e-01 1.082358e+00 1.258043e+00 3.162671e-02 -5.634992e-05 -5.111557e-05 5.330716e-05 -1.009349e-04
11397.744420 9.260640e-01 1.083420e+00 1.262583e+00 3.146147e-02 -5.324038e-05 -4.474998e-05 4.708268e-05 -1.029066e-04
11402.744420 9.239645e-01 1.081936e+00 1.264165e+00 3.149698e-02 -5.800321e-05 -4.621127e-05 4.437111e-05 -9.965536e-05
11407.744420 9.253170e-01 1.084511e+00 1.270480e+00 3.147605e-02 -5.778625e-05 -4.845729e-05 4.726731e-05 -8.391202e-05
11412.744420 9.235711e-01 1.083274e+00 1.272352e+00 3.150209e-02 -5.865829e-05 -5.329039e-05 4.443957e-05 -7.890489e-05
11417.744420 9.172724e-01 1.076995e+00 1.268107e+00 3.149326e-02 -5.125498e-05 -6.051340e-05 3.949081e-05 -8.082169e-05
11422.744420 9.051511e-01 1.064188e+00 1.255863e+00 3.125282e-02 -5.007432e-05 -5.863335e-05 4.401884e-05 -8.900593e-05
11427.744420 9.142312e-01 1.075543e+00 1.272985e+00 3.155761e-02 -5.503941e-05 -5.986469e-05 4.010245e-05 -9.523443e-05
11432.744420 9.192433e-01 1.082274e+00 1.284838e+00 3.175104e-02 -5.547001e-05 -5.393383e-05 4.381112e-05 -9.901865e-05
11437.744420 9.161231e-01 1.079710e+00 1.284963e+00 3.164927e-02 -5.286250e-05 -4.486554e-05 4.843339e-05 -1.024689e-04
11442.744420 9.148868e-01 1.079186e+00 1.287508e+00 3.138805e-02 -5.231138e-05 -5.336931e-05 3.864900e-05 -9.157837e-05
11447.744420 9.134485e-01 1.078490e+00 1.290046e+00 3.141735e-02 -5.195294e-05 -6.027681e-05 4.162852e-05 -9.411395e-05
11452.744420 9.094981e-01 1.074896e+00 1.288607e+00 3.145056e-02 -5.630829e-05 -5.907979e-05 5.594480e-05 -9.203406e-05
11457.744420 9.081512e-01 1.074230e+00 1.291054e+00 3.137551e-02 -6.442996e-05 -6.583086e-05 5.880156e-05 -9.317355e-05
11462.744420 9.074840e-01 1.074385e+00 1.294246e+00 3.135282e-02 -6.684923e-05 -6.346790e-05 5.806575e-05 -8.456091e-05
