# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52262
# UID: 1d3f403b-2ca4-4735-9b6a-cac57aaf3184
# Comment: 
# Start time: 07/18/2022  11:48:06
# Stop time: 07/18/2022  11:48:39
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 14.07 mm Vertical: 35.31 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.444036 4.738402e-01 3.822611e-03 4.359019e-03 2.756175e-01 -2.540662e-05 -2.946490e-05 2.187336e-05 -5.275508e-05
11382.444036 9.367424e-01 7.603079e-03 8.677261e-03 5.449748e-01 -4.670110e-05 -5.996737e-05 4.048851e-05 -1.099334e-04
11387.444036 9.418934e-01 7.689503e-03 8.804262e-03 5.487562e-01 -4.586192e-05 -5.794541e-05 3.823402e-05 -1.041086e-04
11392.444036 9.390202e-01 7.720864e-03 8.855912e-03 5.473875e-01 -5.330163e-05 -5.328659e-05 4.370271e-05 -1.106788e-04
11397.444036 9.359429e-01 7.717774e-03 8.871564e-03 5.454946e-01 -5.400586e-05 -5.540920e-05 3.838972e-05 -1.066721e-04
11402.444036 9.352428e-01 7.782662e-03 8.974253e-03 5.451457e-01 -5.444908e-05 -4.971296e-05 3.680764e-05 -9.842945e-05
11407.444036 9.362738e-01 7.833455e-03 9.044117e-03 5.467967e-01 -6.122105e-05 -5.562880e-05 3.224201e-05 -1.047730e-04
11412.444036 9.348064e-01 7.878087e-03 9.141421e-03 5.465811e-01 -6.112751e-05 -5.843070e-05 2.919171e-05 -1.014909e-04
11417.444036 9.315195e-01 7.896408e-03 9.168046e-03 5.453489e-01 -5.564543e-05 -5.309051e-05 2.900817e-05 -9.885439e-05
11422.444036 9.168809e-01 7.820901e-03 9.110949e-03 5.374289e-01 -5.645613e-05 -4.082971e-05 2.809814e-05 -9.744241e-05
11427.444036 9.236728e-01 7.900830e-03 9.206707e-03 5.431506e-01 -5.810520e-05 -3.762260e-05 3.051844e-05 -9.923881e-05
11432.444036 9.274879e-01 7.993125e-03 9.351426e-03 5.447566e-01 -5.567055e-05 -4.454708e-05 3.036022e-05 -1.079486e-04
11437.444036 9.263935e-01 8.032556e-03 9.447106e-03 5.440218e-01 -5.142863e-05 -4.801577e-05 3.279728e-05 -1.105985e-04
11442.444036 9.237503e-01 8.056267e-03 9.467266e-03 5.426689e-01 -4.867188e-05 -3.918730e-05 3.116589e-05 -1.100839e-04
11447.444036 9.214023e-01 8.086750e-03 9.512841e-03 5.416480e-01 -4.963030e-05 -4.221990e-05 3.498006e-05 -1.058400e-04
11452.444036 9.205610e-01 8.137063e-03 9.587047e-03 5.425017e-01 -5.448085e-05 -3.751886e-05 2.832073e-05 -1.056108e-04
11457.444036 9.166730e-01 8.137069e-03 9.625653e-03 5.401519e-01 -5.907148e-05 -4.722401e-05 2.020922e-05 -9.977351e-05
11462.444036 9.141042e-01 8.166797e-03 9.658023e-03 5.392232e-01 -5.921226e-05 -4.958897e-05 2.704264e-05 -9.841496e-05
11467.444036 9.121029e-01 8.184708e-03 9.712942e-03 5.383872e-01 -6.393370e-05 -4.404900e-05 3.408649e-05 -1.085980e-04
11472.444036 9.120276e-01 8.255867e-03 9.807140e-03 5.387894e-01 -6.054688e-05 -3.656142e-05 3.914984e-05 -1.109980e-04
11477.444036 9.104559e-01 8.306103e-03 9.853502e-03 5.385294e-01 -5.946671e-05 -3.376893e-05 2.971015e-05 -1.089780e-04
11482.444036 9.090353e-01 8.348372e-03 9.881460e-03 5.378648e-01 -4.887389e-05 -4.141843e-05 2.189128e-05 -1.054663e-04
11487.444036 8.966028e-01 8.297076e-03 9.850895e-03 5.307058e-01 -5.305572e-05 -4.396340e-05 1.854278e-05 -1.151942e-04
11492.444036 8.978299e-01 8.334189e-03 9.923232e-03 5.319747e-01 -6.578255e-05 -3.616977e-05 1.947846e-05 -1.121045e-04
11497.444036 9.095444e-01 8.490645e-03 1.015702e-02 5.401842e-01 -6.223055e-05 -3.842076e-05 2.348442e-05 -1.057647e-04
11502.444036 9.063798e-01 8.514713e-03 1.021073e-02 5.387227e-01 -6.058446e-05 -3.956577e-05 2.649772e-05 -1.086366e-04
11507.444036 9.045406e-01 8.548292e-03 1.024594e-02 5.381833e-01 -6.144642e-05 -3.791969e-05 2.125922e-05 -1.134927e-04
11512.444036 9.041808e-01 8.607999e-03 1.030387e-02 5.384953e-01 -5.356508e-05 -3.645878e-05 3.033519e-05 -1.057157e-04
11517.444036 9.039107e-01 8.657579e-03 1.036334e-02 5.392263e-01 -6.097285e-05 -4.875522e-05 3.282961e-05 -1.146776e-04
11522.444036 9.033829e-01 8.697505e-03 1.042071e-02 5.394851e-01 -6.550782e-05 -4.622669e-05 3.273973e-05 -1.106629e-04
11527.444036 9.015338e-01 8.737294e-03 1.043984e-02 5.392940e-01 -5.593412e-05 -3.111722e-05 3.102459e-05 -1.074720e-04
11532.444036 8.997409e-01 8.753097e-03 1.040924e-02 5.392856e-01 -4.944056e-05 -4.183978e-05 2.593094e-05 -1.138508e-04
11534.000000 8.966936e-01 8.746169e-03 1.035391e-02 5.375420e-01 -5.146745e-05 -3.615387e-05 2.278826e-05 -1.122234e-04
11535.000000 9.029248e-01 8.838716e-03 1.044991e-02 5.409073e-01 -5.451780e-05 -3.780528e-05 2.202906e-05 -1.093975e-04
11536.000000 8.967522e-01 8.764724e-03 1.036013e-02 5.378784e-01 -5.578561e-05 -3.942172e-05 3.158324e-05 -1.002274e-04
11537.000000 8.981674e-01 8.787973e-03 1.036081e-02 5.402628e-01 -5.457227e-05 -3.130034e-05 2.523872e-05 -1.136251e-04
11538.000000 8.973316e-01 8.779688e-03 1.034269e-02 5.394155e-01 -4.899636e-05 -2.955014e-05 3.717631e-05 -1.105744e-04
11539.000000 8.999025e-01 8.839740e-03 1.041194e-02 5.413363e-01 -4.616697e-05 -3.090371e-05 4.555007e-05 -1.003033e-04
11540.000000 9.000582e-01 8.841889e-03 1.037239e-02 5.407372e-01 -5.003355e-05 -2.711671e-05 3.945221e-05 -1.004202e-04
11541.000000 9.039792e-01 8.906332e-03 1.042985e-02 5.437185e-01 -5.595170e-05 -3.669606e-05 4.156743e-05 -1.033526e-04
