# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52265
# UID: aedec49e-3e45-4c99-b7ad-8b936758635c
# Comment: 
# Start time: 07/18/2022  11:49:54
# Stop time: 07/18/2022  11:50:27
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 14.07 mm Vertical: 35.31 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.454940 4.744973e-01 3.861430e-03 4.352453e-03 2.757378e-01 -3.225983e-05 -2.194775e-05 1.700889e-05 -6.705258e-05
11382.454940 9.392627e-01 7.675478e-03 8.681576e-03 5.461908e-01 -5.624175e-05 -5.563921e-05 3.433734e-05 -1.287379e-04
11387.454940 9.434696e-01 7.752663e-03 8.817904e-03 5.488613e-01 -5.652016e-05 -4.762053e-05 3.636000e-05 -1.316592e-04
11392.454940 9.378421e-01 7.743257e-03 8.841064e-03 5.461115e-01 -5.599132e-05 -4.612710e-05 3.410141e-05 -1.349346e-04
11397.454940 9.377349e-01 7.785612e-03 8.907903e-03 5.463315e-01 -5.623213e-05 -3.911870e-05 3.113547e-05 -1.757055e-04
11402.454940 9.348382e-01 7.811671e-03 8.954349e-03 5.448953e-01 -5.563612e-05 -4.724878e-05 3.271760e-05 -1.463196e-04
11407.454940 9.374366e-01 7.877899e-03 9.073674e-03 5.471827e-01 -5.204240e-05 -5.411399e-05 2.838853e-05 -1.322622e-04
11412.454940 9.347287e-01 7.895250e-03 9.103538e-03 5.456382e-01 -5.241168e-05 -4.361494e-05 3.381098e-05 -1.320710e-04
11417.454940 9.306920e-01 7.905590e-03 9.130056e-03 5.442396e-01 -5.932121e-05 -4.746327e-05 3.307423e-05 -1.278744e-04
11422.454940 9.185994e-01 7.868512e-03 9.101947e-03 5.377110e-01 -5.723124e-05 -5.287343e-05 2.553556e-05 -1.218328e-04
