# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52266
# UID: 062739c1-7622-455a-8ad1-88b33cc2e0d3
# Comment: 
# Start time: 07/18/2022  11:50:30
# Stop time: 07/18/2022  11:51:02
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 14.07 mm Vertical: 35.31 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.572770 4.759495e-01 3.856381e-03 4.370426e-03 2.766246e-01 -3.098745e-05 -2.400755e-05 1.356882e-05 -9.059437e-05
11382.572770 9.411587e-01 7.646726e-03 8.709770e-03 5.474190e-01 -5.961949e-05 -5.111528e-05 2.407383e-05 -1.807464e-04
11387.572770 9.454999e-01 7.725972e-03 8.834215e-03 5.506692e-01 -5.668730e-05 -4.795362e-05 2.368981e-05 -1.860848e-04
11392.572770 9.405038e-01 7.729937e-03 8.848284e-03 5.475703e-01 -5.649308e-05 -4.602187e-05 2.841980e-05 -1.928332e-04
11397.572770 9.406907e-01 7.783082e-03 8.892109e-03 5.482392e-01 -5.872718e-05 -3.919955e-05 3.059645e-05 -1.929094e-04
11402.572770 9.372195e-01 7.792073e-03 8.968096e-03 5.467052e-01 -5.082832e-05 -4.640781e-05 3.924914e-05 -1.884976e-04
11407.572770 9.383786e-01 7.860005e-03 9.055330e-03 5.475451e-01 -4.271597e-05 -5.486428e-05 5.287531e-05 -1.877372e-04
11412.572770 9.380258e-01 7.912045e-03 9.113132e-03 5.478521e-01 -5.342615e-05 -5.346421e-05 4.265507e-05 -1.866175e-04
11417.572770 9.329950e-01 7.911298e-03 9.151730e-03 5.450492e-01 -5.278383e-05 -4.747220e-05 3.070400e-05 -1.603835e-04
11422.572770 9.182379e-01 7.832155e-03 9.074304e-03 5.379265e-01 -5.288761e-05 -5.257027e-05 3.515246e-05 -1.262039e-04
11427.572770 9.289581e-01 7.956724e-03 9.251251e-03 5.462399e-01 -4.518064e-05 -5.532013e-05 2.629674e-05 -1.273969e-04
11432.572770 9.316174e-01 8.022249e-03 9.376989e-03 5.475054e-01 -5.332470e-05 -5.853479e-05 2.661665e-05 -1.256238e-04
11437.572770 9.293429e-01 8.054605e-03 9.409291e-03 5.464570e-01 -5.611546e-05 -6.026361e-05 2.560611e-05 -1.239332e-04
11442.572770 9.283497e-01 8.098173e-03 9.467314e-03 5.462013e-01 -6.130345e-05 -5.993122e-05 3.219544e-05 -1.175772e-04
11447.572770 9.251696e-01 8.117898e-03 9.516907e-03 5.444364e-01 -7.186293e-05 -4.693435e-05 3.159359e-05 -1.150703e-04
