# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52267
# UID: 8c9e6f21-a604-4492-88c5-34644110b847
# Comment: 
# Start time: 07/18/2022  11:51:06
# Stop time: 07/18/2022  11:51:38
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 14.07 mm Vertical: 35.31 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.444848 4.755387e-01 3.863233e-03 4.359720e-03 2.764785e-01 -2.341985e-05 -2.510410e-05 1.168886e-05 -6.145403e-05
11382.444848 9.411822e-01 7.673817e-03 8.713214e-03 5.477210e-01 -4.365100e-05 -4.682718e-05 3.561426e-05 -1.223755e-04
11387.444848 9.448492e-01 7.734310e-03 8.789556e-03 5.503942e-01 -4.619073e-05 -4.444602e-05 4.446929e-05 -1.238673e-04
11392.444848 9.401087e-01 7.737510e-03 8.833587e-03 5.475636e-01 -4.574245e-05 -5.050407e-05 4.061705e-05 -1.260198e-04
11397.444848 9.415135e-01 7.823681e-03 8.934466e-03 5.484251e-01 -4.592754e-05 -5.461508e-05 3.852212e-05 -1.290225e-04
11402.444848 9.399598e-01 7.882216e-03 8.998158e-03 5.481335e-01 -4.388481e-05 -5.893012e-05 4.125909e-05 -1.348644e-04
11407.444848 9.388297e-01 7.910107e-03 9.052844e-03 5.484451e-01 -5.235926e-05 -6.081321e-05 3.640956e-05 -1.283821e-04
11412.444848 9.354108e-01 7.922624e-03 9.154098e-03 5.471630e-01 -4.976125e-05 -5.526680e-05 3.278560e-05 -1.355598e-04
11417.444848 9.353790e-01 7.977247e-03 9.220768e-03 5.468969e-01 -5.002414e-05 -5.969149e-05 3.392012e-05 -1.382482e-04
11422.444848 9.211329e-01 7.898855e-03 9.134524e-03 5.399346e-01 -4.115907e-05 -6.010408e-05 3.137038e-05 -1.200111e-04
