# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52227
# UID: cc65100f-5d14-406c-916d-d2dd4e6f1d15
# Comment: 
# Start time: 07/18/2022  10:51:23
# Stop time: 07/18/2022  10:51:54
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -14.79 mm Vertical: 20.76 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.744897 4.729071e-01 1.748703e-05 -6.629216e-06 3.204183e-01 -3.202787e-05 -3.441474e-05 -6.547990e-06 -5.800170e-05
11382.744897 9.352484e-01 3.756114e-05 -3.873301e-06 6.340831e-01 -6.558195e-05 -6.206264e-05 -1.041492e-05 -1.320871e-04
11387.744897 9.400169e-01 4.963085e-05 -6.180694e-06 6.381149e-01 -7.167419e-05 -6.557045e-05 -4.773303e-06 -1.749709e-04
11392.744897 9.354111e-01 4.089335e-05 3.907379e-07 6.352801e-01 -7.728248e-05 -7.187915e-05 -8.692789e-06 -1.774564e-04
11397.744897 9.352922e-01 5.185028e-05 1.260563e-07 6.351241e-01 -7.640728e-05 -8.239281e-05 -4.408469e-06 -1.420346e-04
11402.744897 9.308967e-01 5.283882e-05 -4.855589e-06 6.329648e-01 -7.928948e-05 -7.303170e-05 -1.081545e-05 -1.358100e-04
11407.744897 9.317602e-01 7.130430e-05 8.034108e-06 6.336703e-01 -7.764564e-05 -7.696317e-05 -1.689321e-05 -1.363611e-04
11412.744897 9.311934e-01 6.314120e-05 7.636651e-06 6.343498e-01 -8.317486e-05 -7.473510e-05 -1.303758e-05 -1.228801e-04
11417.744897 9.279858e-01 6.131110e-05 3.372571e-06 6.324841e-01 -8.049054e-05 -8.210518e-05 -1.384745e-05 -1.160280e-04
11422.744897 9.162250e-01 6.889994e-05 5.999420e-06 6.259534e-01 -7.449755e-05 -9.306536e-05 -1.168897e-05 -1.180556e-04
11427.744897 9.237053e-01 6.862122e-05 1.095550e-05 6.316627e-01 -7.946199e-05 -9.220616e-05 -1.194261e-05 -1.195889e-04
11432.744897 9.239120e-01 5.398447e-05 7.919844e-06 6.317043e-01 -7.822319e-05 -8.390741e-05 -1.421762e-05 -1.217842e-04
11437.744897 9.224310e-01 6.386869e-05 -1.532290e-06 6.307520e-01 -6.407603e-05 -7.719288e-05 -1.564115e-05 -1.263618e-04
11442.744897 9.205425e-01 6.363406e-05 2.887665e-05 6.304866e-01 -6.647155e-05 -7.578605e-05 -2.046651e-05 -1.326392e-04
11447.744897 9.184090e-01 5.642697e-05 2.896203e-05 6.294123e-01 -7.081815e-05 -7.285612e-05 -1.247945e-05 -1.365415e-04
11452.744897 9.186331e-01 5.550065e-05 -1.269681e-05 6.299131e-01 -6.655361e-05 -6.648769e-05 -5.327939e-06 -1.223764e-04
11457.744897 9.190334e-01 5.751691e-05 1.327701e-05 6.306177e-01 -7.883569e-05 -6.977026e-05 2.122679e-06 -1.184589e-04
11462.744897 9.172807e-01 5.877119e-05 3.087014e-05 6.299706e-01 -8.227540e-05 -6.605701e-05 -6.578597e-06 -1.309097e-04
11467.744897 9.135466e-01 5.042905e-05 1.480271e-05 6.274210e-01 -8.136594e-05 -7.545641e-05 -6.310769e-06 -1.284940e-04
11472.744897 9.118844e-01 4.105101e-05 2.833958e-05 6.270434e-01 -7.488433e-05 -7.581313e-05 -1.354774e-06 -1.306460e-04
11477.744897 9.109155e-01 3.964724e-05 1.536226e-05 6.271593e-01 -7.009952e-05 -7.537157e-05 -7.775186e-06 -1.276706e-04
11482.744897 9.093517e-01 4.011731e-05 2.506076e-05 6.265889e-01 -6.888222e-05 -7.638682e-05 -2.585400e-06 -1.295491e-04
11487.744897 9.002041e-01 3.510631e-05 4.400367e-05 6.197053e-01 -7.469183e-05 -8.328111e-05 -4.794699e-06 -1.256501e-04
11492.744897 9.000911e-01 4.331852e-05 3.708056e-05 6.203498e-01 -7.074318e-05 -8.201819e-05 -1.181174e-05 -1.309283e-04
11497.744897 9.101067e-01 5.931708e-05 9.874154e-06 6.289081e-01 -7.651253e-05 -9.368360e-05 -6.202546e-07 -1.383920e-04
11502.744897 9.101406e-01 5.941688e-05 3.823927e-05 6.290695e-01 -8.892574e-05 -8.828527e-05 -4.000533e-06 -1.522217e-04
11507.744897 9.065912e-01 4.675023e-05 5.506338e-05 6.276004e-01 -8.200476e-05 -7.561835e-05 -4.999789e-06 -1.357467e-04
11512.744897 9.033208e-01 4.246463e-05 3.679910e-05 6.254759e-01 -8.097585e-05 -7.548548e-05 -3.439053e-06 -1.299042e-04
11517.744897 9.051748e-01 3.960380e-05 2.418761e-05 6.270700e-01 -8.436006e-05 -6.829022e-05 1.687832e-06 -1.228722e-04
11522.744897 9.046117e-01 5.256583e-05 2.658565e-05 6.277558e-01 -7.829153e-05 -7.716892e-05 -1.745010e-05 -1.336955e-04
11527.744897 9.018344e-01 5.888406e-05 7.487562e-06 6.269635e-01 -8.288063e-05 -7.533294e-05 -1.719669e-05 -1.292906e-04
11532.744897 9.016170e-01 6.031089e-05 2.636603e-05 6.268082e-01 -7.667658e-05 -7.465692e-05 -1.828246e-05 -1.234007e-04
11534.000000 8.989724e-01 6.553065e-05 6.639046e-05 6.266289e-01 -7.270545e-05 -7.861456e-05 -1.869697e-05 -1.237304e-04
11535.000000 9.020622e-01 6.639421e-05 1.053555e-05 6.282734e-01 -7.188992e-05 -8.229703e-05 -7.926890e-06 -1.224286e-04
11536.000000 9.013534e-01 6.258281e-05 3.098910e-05 6.293794e-01 -6.662294e-05 -8.922150e-05 6.962670e-06 -1.199295e-04
11537.000000 9.022207e-01 4.516230e-05 5.064988e-06 6.286868e-01 -7.006119e-05 -8.072875e-05 2.375798e-06 -1.218883e-04
11538.000000 9.074512e-01 3.498868e-05 5.005069e-05 6.317750e-01 -6.569601e-05 -8.030100e-05 -3.481319e-06 -1.224334e-04
11539.000000 9.004324e-01 2.887932e-05 5.428759e-05 6.280991e-01 -6.509436e-05 -7.689544e-05 1.675152e-06 -1.241448e-04
11540.000000 9.049188e-01 1.913875e-05 4.740937e-05 6.304431e-01 -7.500058e-05 -8.158308e-05 1.860237e-06 -1.186997e-04
