# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52230
# UID: 45799c2c-d104-4288-8050-a5f0ff060192
# Comment: 
# Start time: 07/18/2022  10:54:22
# Stop time: 07/18/2022  10:54:54
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -14.78 mm Vertical: -1.01 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.572770 4.746058e-01 2.238361e-02 2.500461e-02 2.771515e-01 -3.466851e-05 -3.820061e-05 1.389550e-05 -6.113923e-05
11382.572770 9.382488e-01 4.444216e-02 4.974765e-02 5.477778e-01 -7.333814e-05 -6.639874e-05 2.163958e-05 -1.529295e-04
11387.572770 9.433899e-01 4.495766e-02 5.042994e-02 5.511367e-01 -6.779210e-05 -6.500081e-05 2.286693e-05 -1.193723e-04
11392.572770 9.385314e-01 4.495830e-02 5.055941e-02 5.483246e-01 -7.155969e-05 -7.176387e-05 2.764275e-05 -1.035648e-04
11397.572770 9.397850e-01 4.528849e-02 5.107953e-02 5.498017e-01 -7.286885e-05 -7.488087e-05 2.506428e-05 -9.625920e-05
11402.572770 9.350318e-01 4.518349e-02 5.110248e-02 5.478320e-01 -6.266206e-05 -7.087345e-05 2.688000e-05 -1.111903e-04
11407.572770 9.367526e-01 4.557510e-02 5.166270e-02 5.489431e-01 -6.619800e-05 -7.368802e-05 3.194844e-05 -1.060936e-04
11412.572770 9.344855e-01 4.574856e-02 5.198483e-02 5.481927e-01 -6.041683e-05 -7.709850e-05 2.210332e-05 -1.039340e-04
11417.572770 9.316571e-01 4.586983e-02 5.229074e-02 5.470522e-01 -5.304678e-05 -8.458356e-05 1.281226e-05 -1.006850e-04
11422.572770 9.168966e-01 4.532586e-02 5.178461e-02 5.395866e-01 -5.315099e-05 -8.048325e-05 1.244839e-05 -1.137134e-04
11427.572770 9.265245e-01 4.607004e-02 5.276998e-02 5.468326e-01 -6.223939e-05 -7.308192e-05 1.380355e-05 -1.035469e-04
11432.572770 9.285035e-01 4.649110e-02 5.337724e-02 5.475136e-01 -6.316899e-05 -7.244248e-05 1.719152e-05 -9.862279e-05
11437.572770 9.237268e-01 4.619195e-02 5.319042e-02 5.446951e-01 -6.760802e-05 -6.406443e-05 1.211397e-05 -9.708800e-05
11442.572770 9.221746e-01 4.643302e-02 5.358203e-02 5.438230e-01 -6.025815e-05 -6.433149e-05 1.810460e-05 -9.597104e-05
11447.572770 9.231203e-01 4.694459e-02 5.430896e-02 5.450314e-01 -5.015318e-05 -6.710799e-05 1.554189e-05 -1.055073e-04
11452.572770 9.197958e-01 4.683449e-02 5.432499e-02 5.435198e-01 -5.295693e-05 -7.321911e-05 1.550112e-05 -1.086857e-04
11457.572770 9.164000e-01 4.681258e-02 5.444250e-02 5.417902e-01 -4.967310e-05 -6.674358e-05 2.675654e-05 -1.104030e-04
11462.572770 9.162911e-01 4.710603e-02 5.492813e-02 5.420856e-01 -5.382201e-05 -6.912074e-05 2.446934e-05 -1.134434e-04
11467.572770 9.169836e-01 4.765151e-02 5.568394e-02 5.434241e-01 -5.788619e-05 -7.144606e-05 3.547314e-05 -1.063305e-04
11472.572770 9.138838e-01 4.752627e-02 5.566139e-02 5.422890e-01 -5.608391e-05 -7.980623e-05 3.787835e-05 -1.010497e-04
11477.572770 9.115419e-01 4.750624e-02 5.576807e-02 5.414456e-01 -6.112419e-05 -7.660330e-05 3.438701e-05 -1.070602e-04
11482.572770 9.086243e-01 4.740360e-02 5.572187e-02 5.400081e-01 -6.040420e-05 -8.061138e-05 3.446842e-05 -1.118245e-04
11487.572770 8.988406e-01 4.723671e-02 5.568649e-02 5.344177e-01 -5.954304e-05 -8.256344e-05 2.643704e-05 -1.097365e-04
