# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 25065
# UID: e6708ee3-5f3d-4390-a927-8ea4437c6010
# Comment: 
# Start time: 06/09/2022  18:09:40
# Stop time: 06/09/2022  18:10:12
# Total time: 00:31
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 149.80 sccm He + 349.90 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 399.70 sccm N2 + 100.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -1.00 mm Vertical: 21.98 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.877058 4.286520e-01 1.035560e+00 2.911907e+00 3.778793e-02 -1.560223e-04 -1.444428e-04 -1.303204e-04 -1.757078e-04
 7522.877058 8.477921e-01 2.050449e+00 5.777001e+00 7.469917e-02 -3.116734e-04 -2.961496e-04 -2.622323e-04 -3.351597e-04
 7527.877058 8.550240e-01 2.071341e+00 5.851199e+00 7.567795e-02 -3.176808e-04 -2.989754e-04 -2.578095e-04 -3.060997e-04
 7532.877058 8.543223e-01 2.073413e+00 5.870066e+00 7.572492e-02 -3.212565e-04 -2.942273e-04 -2.592404e-04 -3.119421e-04
 7537.877058 8.534621e-01 2.076574e+00 5.893629e+00 7.597286e-02 -3.220079e-04 -3.035636e-04 -2.568751e-04 -3.057201e-04
 7542.877058 8.527567e-01 2.079875e+00 5.917076e+00 7.605753e-02 -3.171260e-04 -2.993822e-04 -2.548894e-04 -2.976552e-04
 7547.877058 8.521724e-01 2.083059e+00 5.941084e+00 7.652776e-02 -3.142752e-04 -3.072158e-04 -2.564224e-04 -2.976395e-04
 7552.877058 8.512473e-01 2.084649e+00 5.961219e+00 7.643692e-02 -3.175797e-04 -3.087865e-04 -2.633736e-04 -3.022723e-04
 7557.877058 8.498286e-01 2.084765e+00 5.975094e+00 7.614364e-02 -3.155916e-04 -2.961771e-04 -2.657931e-04 -3.068326e-04
 7562.877058 8.489527e-01 2.085952e+00 5.992085e+00 7.639337e-02 -3.162312e-04 -2.794315e-04 -2.681045e-04 -2.969044e-04
 7567.877058 8.481575e-01 2.087786e+00 6.012293e+00 7.655835e-02 -3.095952e-04 -2.800582e-04 -2.596006e-04 -2.954818e-04
 7572.877058 8.477775e-01 2.091551e+00 6.038021e+00 7.675283e-02 -3.094545e-04 -2.736430e-04 -2.674279e-04 -2.958747e-04
 7577.877058 8.468185e-01 2.094585e+00 6.060436e+00 7.668624e-02 -3.159420e-04 -2.836972e-04 -2.654241e-04 -2.948133e-04
 7582.877058 8.457712e-01 2.096749e+00 6.080424e+00 7.707758e-02 -3.063386e-04 -2.818233e-04 -2.581655e-04 -3.034639e-04
 7587.877058 8.446436e-01 2.098335e+00 6.099569e+00 7.705118e-02 -3.041077e-04 -2.890064e-04 -2.555066e-04 -2.916273e-04
 7592.877058 8.435582e-01 2.100465e+00 6.119408e+00 7.716801e-02 -3.210950e-04 -2.981637e-04 -2.508269e-04 -2.877951e-04
 7597.877058 8.416962e-01 2.100330e+00 6.132958e+00 7.702977e-02 -3.069345e-04 -2.974663e-04 -2.535302e-04 -2.948570e-04
 7602.877058 8.400914e-01 2.100143e+00 6.146011e+00 7.708876e-02 -3.061385e-04 -2.966858e-04 -2.616361e-04 -2.985036e-04
 7607.877058 8.411554e-01 2.106331e+00 6.178238e+00 7.749965e-02 -3.011806e-04 -2.867543e-04 -2.716813e-04 -3.071287e-04
 7612.877058 8.404448e-01 2.109505e+00 6.201704e+00 7.764177e-02 -3.043834e-04 -2.809118e-04 -2.600797e-04 -3.073187e-04
