# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 25070
# UID: ec05cd47-cca9-402f-ae09-bc2e5fa69f83
# Comment: 
# Start time: 06/09/2022  18:13:30
# Stop time: 06/09/2022  18:14:03
# Total time: 00:32
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E9 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 149.80 sccm He + 349.90 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 399.70 sccm N2 + 100.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -1.00 mm Vertical: 21.98 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.877058 4.339374e-01 1.101229e+00 4.319912e+00 3.747714e-02 -1.687441e-04 -1.642047e-04 -1.418630e-04 -1.496628e-04
 7522.877058 8.580377e-01 2.178477e+00 8.559749e+00 7.423643e-02 -3.369979e-04 -3.198187e-04 -2.776161e-04 -2.879516e-04
 7527.877058 8.651182e-01 2.201392e+00 8.639784e+00 7.506506e-02 -3.411918e-04 -3.299966e-04 -2.860840e-04 -2.774585e-04
 7532.877058 8.645913e-01 2.207387e+00 8.639813e+00 7.517870e-02 -3.477865e-04 -3.310571e-04 -2.875571e-04 -2.675259e-04
 7537.877058 8.637876e-01 2.212382e+00 8.639763e+00 7.510279e-02 -3.417444e-04 -3.305448e-04 -2.816735e-04 -2.758505e-04
 7542.877058 8.631853e-01 2.215857e+00 8.639828e+00 7.525510e-02 -3.458007e-04 -3.223487e-04 -2.766203e-04 -2.932325e-04
 7547.877058 8.626073e-01 2.219185e+00 8.639775e+00 7.544735e-02 -3.331695e-04 -3.234927e-04 -2.851139e-04 -2.960150e-04
 7552.877058 8.616347e-01 2.222460e+00 8.639819e+00 7.553676e-02 -3.348805e-04 -3.235566e-04 -2.817486e-04 -2.881953e-04
 7557.877058 8.596087e-01 2.222546e+00 8.639767e+00 7.569267e-02 -3.477269e-04 -3.230471e-04 -2.913926e-04 -2.764002e-04
 7562.877058 8.587797e-01 2.225447e+00 8.639831e+00 7.552716e-02 -3.452057e-04 -3.243114e-04 -2.916122e-04 -2.767245e-04
