# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 25068
# UID: 174d9a92-eec3-4924-a832-096457c5c656
# Comment: 
# Start time: 06/09/2022  18:11:29
# Stop time: 06/09/2022  18:12:01
# Total time: 00:31
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 149.80 sccm He + 349.90 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 399.60 sccm N2 + 100.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -1.00 mm Vertical: 21.98 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7518.874066 4.317068e-01 1.074696e+00 2.897556e+00 3.778947e-02 -1.708843e-04 -1.633091e-04 -1.351848e-04 -1.313111e-04
 7523.874066 8.536993e-01 2.128234e+00 5.747085e+00 7.480780e-02 -3.370831e-04 -3.285828e-04 -2.733677e-04 -2.612734e-04
 7528.874066 8.614673e-01 2.152275e+00 5.827277e+00 7.576984e-02 -3.503970e-04 -3.215311e-04 -2.747714e-04 -2.715508e-04
 7533.874066 8.602607e-01 2.154146e+00 5.846421e+00 7.577579e-02 -3.544513e-04 -3.198573e-04 -2.657387e-04 -3.039729e-04
 7538.874066 8.591802e-01 2.155938e+00 5.866599e+00 7.600870e-02 -3.566975e-04 -3.250025e-04 -2.618126e-04 -2.989795e-04
 7543.874066 8.588630e-01 2.159546e+00 5.890852e+00 7.599283e-02 -3.613050e-04 -3.346821e-04 -2.645832e-04 -2.970638e-04
 7548.874066 8.582713e-01 2.162928e+00 5.914478e+00 7.612704e-02 -3.566216e-04 -3.337263e-04 -2.751085e-04 -3.054962e-04
 7553.874066 8.568592e-01 2.163925e+00 5.930496e+00 7.625502e-02 -3.537947e-04 -3.240819e-04 -2.692485e-04 -2.941082e-04
 7558.874066 8.555596e-01 2.164977e+00 5.947967e+00 7.632015e-02 -3.469538e-04 -3.250517e-04 -2.694025e-04 -2.944699e-04
 7563.874066 8.545236e-01 2.167577e+00 5.970026e+00 7.640185e-02 -3.416554e-04 -3.280609e-04 -2.728107e-04 -2.893425e-04
 7568.874066 8.544014e-01 2.172103e+00 5.996594e+00 7.656952e-02 -3.512439e-04 -3.238629e-04 -2.724001e-04 -2.972061e-04
 7573.874066 8.536004e-01 2.174708e+00 6.018904e+00 7.665501e-02 -3.554075e-04 -3.276118e-04 -2.733970e-04 -3.034788e-04
 7578.874066 8.522881e-01 2.175950e+00 6.038443e+00 7.670452e-02 -3.543631e-04 -3.226503e-04 -2.679123e-04 -2.893487e-04
 7583.874066 8.514714e-01 2.178011e+00 6.060558e+00 7.670409e-02 -3.536200e-04 -3.173756e-04 -2.749990e-04 -2.639992e-04
 7588.874066 8.503302e-01 2.179437e+00 6.082062e+00 7.675771e-02 -3.529415e-04 -3.236847e-04 -2.727014e-04 -2.521003e-04
 7593.874066 8.494227e-01 2.181585e+00 6.102808e+00 7.685594e-02 -3.486527e-04 -3.184819e-04 -2.738287e-04 -2.386429e-04
 7598.874066 8.469542e-01 2.180108e+00 6.113284e+00 7.680240e-02 -3.503757e-04 -3.111486e-04 -2.752549e-04 -2.461222e-04
 7603.874066 8.465800e-01 2.184198e+00 6.139562e+00 7.700711e-02 -3.465607e-04 -3.048713e-04 -2.664987e-04 -2.432931e-04
 7608.874066 8.467410e-01 2.189989e+00 6.169942e+00 7.750030e-02 -3.463672e-04 -3.044075e-04 -2.642641e-04 -2.516661e-04
