# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 25069
# UID: 9e452267-37be-4ef9-b55e-cd7d797b76b1
# Comment: 
# Start time: 06/09/2022  18:12:05
# Stop time: 06/09/2022  18:12:37
# Total time: 00:31
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 149.80 sccm He + 349.90 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 399.70 sccm N2 + 100.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -1.00 mm Vertical: 21.98 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.822026 4.322932e-01 1.082670e+00 2.889773e+00 3.769612e-02 -1.590912e-04 -1.547405e-04 -1.379736e-04 -1.252661e-04
 7522.822026 8.547111e-01 2.143853e+00 5.730790e+00 7.466425e-02 -3.175912e-04 -3.099271e-04 -2.779296e-04 -2.562150e-04
 7527.822026 8.621804e-01 2.167623e+00 5.807714e+00 7.553198e-02 -3.258303e-04 -3.119342e-04 -2.979232e-04 -2.646360e-04
 7532.822026 8.617417e-01 2.171801e+00 5.833995e+00 7.561550e-02 -3.314897e-04 -3.174000e-04 -3.038282e-04 -2.680030e-04
 7537.822026 8.607931e-01 2.174231e+00 5.856691e+00 7.574453e-02 -3.303676e-04 -3.145188e-04 -3.075647e-04 -2.654705e-04
 7542.822026 8.602113e-01 2.177704e+00 5.881650e+00 7.590909e-02 -3.306815e-04 -3.042094e-04 -3.016544e-04 -2.618426e-04
 7547.822026 8.594854e-01 2.180731e+00 5.904431e+00 7.627742e-02 -3.312881e-04 -3.073683e-04 -3.056118e-04 -2.626455e-04
 7552.822026 8.582837e-01 2.182333e+00 5.923852e+00 7.614610e-02 -3.331503e-04 -3.121307e-04 -3.179544e-04 -2.637246e-04
 7557.822026 8.567123e-01 2.183346e+00 5.940475e+00 7.611033e-02 -3.336739e-04 -3.038186e-04 -3.043159e-04 -2.566433e-04
 7562.822026 8.559270e-01 2.186127e+00 5.963661e+00 7.622721e-02 -3.288574e-04 -3.061750e-04 -2.952170e-04 -2.490360e-04
 7567.822026 8.544630e-01 2.187104e+00 5.981510e+00 7.632658e-02 -3.330936e-04 -3.030458e-04 -2.797647e-04 -2.405427e-04
 7572.822026 8.548541e-01 2.193074e+00 6.011838e+00 7.636203e-02 -3.346298e-04 -2.918857e-04 -2.784281e-04 -2.431990e-04
 7577.822026 8.539044e-01 2.195896e+00 6.033239e+00 7.657213e-02 -3.324759e-04 -2.914610e-04 -2.903364e-04 -2.428818e-04
 7582.822026 8.528399e-01 2.198422e+00 6.054640e+00 7.683566e-02 -3.305093e-04 -3.012243e-04 -2.946172e-04 -2.359609e-04
 7587.822026 8.522664e-01 2.201801e+00 6.078519e+00 7.700312e-02 -3.254718e-04 -2.945045e-04 -2.872328e-04 -2.435915e-04
 7592.822026 8.511031e-01 2.202893e+00 6.094612e+00 7.692767e-02 -3.279170e-04 -2.940490e-04 -2.771503e-04 -2.498677e-04
 7597.822026 8.492510e-01 2.202686e+00 6.107600e+00 7.685839e-02 -3.327061e-04 -2.973431e-04 -2.832913e-04 -2.439496e-04
 7602.822026 8.471615e-01 2.202774e+00 6.123281e+00 7.683537e-02 -3.287714e-04 -2.942597e-04 -2.838783e-04 -2.480153e-04
 7607.822026 8.481042e-01 2.210350e+00 6.160317e+00 7.725687e-02 -3.340001e-04 -3.049007e-04 -2.814220e-04 -2.453474e-04
 7612.822026 8.475566e-01 2.214075e+00 6.183118e+00 7.757569e-02 -3.402026e-04 -3.113754e-04 -2.780270e-04 -2.472365e-04
 7617.822026 8.469892e-01 2.217291e+00 6.206943e+00 7.755258e-02 -3.402304e-04 -3.139202e-04 -2.802900e-04 -2.467862e-04
 7622.822026 8.462432e-01 2.219945e+00 6.230436e+00 7.756402e-02 -3.444355e-04 -3.200979e-04 -2.830908e-04 -2.610291e-04
 7627.822026 8.452678e-01 2.222279e+00 6.253173e+00 7.758275e-02 -3.445706e-04 -3.229470e-04 -2.807030e-04 -2.635448e-04
 7632.822026 8.442744e-01 2.224226e+00 6.272005e+00 7.782435e-02 -3.466188e-04 -3.209383e-04 -2.867444e-04 -2.511352e-04
 7637.822026 8.435340e-01 2.227258e+00 6.296659e+00 7.805318e-02 -3.410175e-04 -3.167900e-04 -2.956188e-04 -2.492464e-04
 7642.822026 8.428487e-01 2.230315e+00 6.320689e+00 7.811381e-02 -3.376372e-04 -3.127515e-04 -2.939039e-04 -2.577717e-04
 7647.822026 8.412491e-01 2.230499e+00 6.334596e+00 7.796926e-02 -3.330038e-04 -3.066554e-04 -2.858913e-04 -2.573705e-04
 7652.822026 8.402340e-01 2.232373e+00 6.353216e+00 7.792391e-02 -3.358165e-04 -3.125887e-04 -2.830415e-04 -2.591074e-04
 7657.822026 8.400680e-01 2.237043e+00 6.380025e+00 7.834394e-02 -3.336070e-04 -3.016067e-04 -2.928725e-04 -2.583100e-04
 7662.822026 8.391942e-01 2.239548e+00 6.399605e+00 7.819317e-02 -3.332019e-04 -2.958725e-04 -2.924413e-04 -2.672838e-04
 7667.822026 8.381976e-01 2.241944e+00 6.419561e+00 7.868462e-02 -3.359592e-04 -3.108456e-04 -2.903420e-04 -2.666075e-04
 7672.822026 8.378389e-01 2.245589e+00 6.443237e+00 7.845352e-02 -3.310409e-04 -3.149537e-04 -2.760185e-04 -2.628943e-04
 7677.822026 8.369479e-01 2.247409e+00 6.459640e+00 7.874897e-02 -3.283598e-04 -3.161063e-04 -2.782026e-04 -2.761712e-04
 7679.000000 8.368538e-01 2.248673e+00 6.465448e+00 7.911794e-02 -3.357838e-04 -3.187868e-04 -2.823339e-04 -2.861940e-04
 7680.000000 8.359129e-01 2.247038e+00 6.460970e+00 7.847371e-02 -3.370862e-04 -3.199524e-04 -2.957968e-04 -2.530060e-04
 7681.000000 8.358143e-01 2.247640e+00 6.464915e+00 7.871240e-02 -3.255702e-04 -3.149523e-04 -2.877888e-04 -2.555955e-04
 7682.000000 8.329470e-01 2.241159e+00 6.449236e+00 7.811457e-02 -3.283591e-04 -3.129319e-04 -2.855932e-04 -2.549749e-04
 7683.000000 8.227224e-01 2.214641e+00 6.375047e+00 7.808948e-02 -3.295011e-04 -3.177614e-04 -2.832441e-04 -2.527372e-04
 7684.000000 8.069379e-01 2.173080e+00 6.255009e+00 7.576283e-02 -3.241977e-04 -3.145811e-04 -2.904116e-04 -2.549217e-04
 7685.000000 8.324971e-01 2.242929e+00 6.455235e+00 7.846003e-02 -3.285362e-04 -3.141606e-04 -2.862415e-04 -2.473868e-04
 7686.000000 8.385561e-01 2.260370e+00 6.505605e+00 7.904666e-02 -3.382616e-04 -3.161817e-04 -2.753972e-04 -2.517544e-04
 7686.200000 8.442184e-01 2.277038e+00 6.552634e+00 7.816832e-02 -3.446283e-04 -3.103606e-04 -2.808014e-04 -2.507045e-04
 7686.400000 8.330636e-01 2.246278e+00 6.466928e+00 7.843996e-02 -3.331433e-04 -3.148225e-04 -2.871472e-04 -2.586190e-04
 7686.600000 8.415871e-01 2.268891e+00 6.536122e+00 8.067154e-02 -3.313953e-04 -3.252633e-04 -2.753606e-04 -2.578433e-04
 7686.800000 8.388897e-01 2.262546e+00 6.514434e+00 7.547830e-02 -3.284460e-04 -3.167472e-04 -2.967950e-04 -2.611813e-04
 7687.000000 8.407773e-01 2.267705e+00 6.531707e+00 8.218441e-02 -3.388786e-04 -3.187449e-04 -2.849784e-04 -2.639985e-04
 7687.200000 8.390386e-01 2.262821e+00 6.514297e+00 8.111767e-02 -3.408662e-04 -3.216454e-04 -2.803938e-04 -2.690893e-04
 7687.400000 8.425491e-01 2.272917e+00 6.545888e+00 7.607095e-02 -3.385154e-04 -3.228396e-04 -2.999848e-04 -2.729460e-04
 7687.600000 8.310924e-01 2.241771e+00 6.457243e+00 7.847105e-02 -3.317578e-04 -3.238077e-04 -2.811466e-04 -2.472683e-04
 7687.800000 8.393658e-01 2.264091e+00 6.519324e+00 7.948974e-02 -3.292816e-04 -3.309299e-04 -2.790723e-04 -2.618112e-04
 7688.000000 8.199886e-01 2.211940e+00 6.370794e+00 7.628132e-02 -3.211249e-04 -3.234368e-04 -2.858915e-04 -2.737928e-04
 7688.200000 8.454028e-01 2.281704e+00 6.571985e+00 7.980232e-02 -3.288725e-04 -3.291740e-04 -3.045267e-04 -2.840748e-04
 7688.400000 8.374845e-01 2.260370e+00 6.511674e+00 7.765755e-02 -3.436651e-04 -3.316281e-04 -2.929737e-04 -2.838448e-04
 7688.600000 8.385432e-01 2.264284e+00 6.520774e+00 7.942884e-02 -3.436759e-04 -3.325229e-04 -2.962375e-04 -2.937625e-04
 7688.800000 8.364645e-01 2.257410e+00 6.498016e+00 8.051806e-02 -3.438993e-04 -3.279359e-04 -2.786768e-04 -2.930009e-04
 7689.000000 8.314820e-01 2.243957e+00 6.461790e+00 7.687637e-02 -3.445909e-04 -3.280273e-04 -2.811350e-04 -2.818747e-04
 7689.200000 8.426989e-01 2.274445e+00 6.553256e+00 8.155935e-02 -3.444494e-04 -3.247837e-04 -2.862569e-04 -2.820299e-04
 7689.400000 8.337987e-01 2.251530e+00 6.486229e+00 8.014970e-02 -3.315759e-04 -3.261351e-04 -2.767919e-04 -2.665382e-04
 7689.600000 8.397094e-01 2.267103e+00 6.530159e+00 8.050052e-02 -3.419345e-04 -3.278934e-04 -2.784563e-04 -2.651389e-04
 7689.800000 8.367552e-01 2.259333e+00 6.507639e+00 7.924027e-02 -3.250590e-04 -3.207085e-04 -2.649804e-04 -2.589642e-04
 7690.000000 8.397549e-01 2.267590e+00 6.532262e+00 8.085667e-02 -3.339968e-04 -3.180658e-04 -2.729523e-04 -2.729434e-04
 7690.200000 8.339295e-01 2.251032e+00 6.489456e+00 7.608284e-02 -3.331383e-04 -3.235633e-04 -2.792608e-04 -2.757173e-04
 7690.400000 8.369612e-01 2.260790e+00 6.513588e+00 7.770243e-02 -3.322849e-04 -3.203576e-04 -2.719161e-04 -2.762374e-04
 7690.600000 8.363824e-01 2.258883e+00 6.509427e+00 8.177238e-02 -3.407966e-04 -3.308526e-04 -2.715622e-04 -2.725645e-04
