# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 25209
# UID: 8dbc2056-05d8-4482-afbe-7f8217fdb983
# Comment: 
# Start time: 06/09/2022  21:59:52
# Stop time: 06/09/2022  22:00:24
# Total time: 00:32
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 29.80 sccm He + 69.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 79.70 sccm N2 + 20.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 25.26 mm Vertical: -26.52 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.859003 4.336708e-01 5.219119e-01 1.263972e+00 5.234784e-02 -1.526400e-04 -1.546582e-04 -1.271535e-04 -1.284251e-04
 7522.859003 8.582216e-01 1.035362e+00 2.511259e+00 1.037486e-01 -2.979767e-04 -3.069506e-04 -2.497956e-04 -2.343922e-04
 7527.859003 8.652971e-01 1.047772e+00 2.547374e+00 1.046477e-01 -3.013242e-04 -3.175061e-04 -2.595845e-04 -2.246941e-04
 7532.859003 8.643000e-01 1.050641e+00 2.560754e+00 1.046904e-01 -3.068000e-04 -3.045167e-04 -2.650931e-04 -2.376046e-04
 7537.859003 8.638974e-01 1.054264e+00 2.576355e+00 1.052286e-01 -3.164657e-04 -3.044914e-04 -2.742786e-04 -2.395922e-04
 7542.859003 8.628167e-01 1.056895e+00 2.589777e+00 1.054149e-01 -3.171780e-04 -3.044960e-04 -2.671109e-04 -2.346144e-04
 7547.859003 8.620828e-01 1.059857e+00 2.603987e+00 1.055668e-01 -3.057839e-04 -3.126491e-04 -2.642097e-04 -2.313670e-04
 7552.859003 8.609581e-01 1.062288e+00 2.616318e+00 1.055893e-01 -3.111112e-04 -3.195742e-04 -2.608729e-04 -2.574760e-04
 7557.859003 8.593367e-01 1.063964e+00 2.627150e+00 1.060656e-01 -3.117813e-04 -3.145863e-04 -2.583777e-04 -2.666101e-04
 7562.859003 8.584345e-01 1.067013e+00 2.641433e+00 1.060387e-01 -3.141762e-04 -3.141215e-04 -2.589245e-04 -2.665286e-04
