# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 26136
# UID: 089abe7d-62bd-4043-9ed1-020a40790e26
# Comment: 
# Start time: 06/10/2022  07:31:00
# Stop time: 06/10/2022  07:31:31
# Total time: 00:31
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 29.80 sccm He + 69.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 79.80 sccm N2 + 20.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 25.26 mm Vertical: -26.52 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.895413 4.322077e-01 5.194049e-01 1.254367e+00 5.331814e-02 -1.781530e-04 -1.275762e-04 -1.131725e-04 -1.255127e-04
 7522.895413 8.546250e-01 1.029450e+00 2.489687e+00 1.055152e-01 -3.501320e-04 -2.463159e-04 -2.236138e-04 -2.436017e-04
 7527.895413 8.611569e-01 1.041130e+00 2.524151e+00 1.067657e-01 -3.511683e-04 -2.526924e-04 -2.197074e-04 -2.471252e-04
 7532.895413 8.610121e-01 1.044862e+00 2.540636e+00 1.069777e-01 -3.510930e-04 -2.492932e-04 -2.164190e-04 -2.605775e-04
 7537.895413 8.602979e-01 1.047975e+00 2.554074e+00 1.072192e-01 -3.331205e-04 -2.501696e-04 -2.156773e-04 -2.715923e-04
 7542.895413 8.588835e-01 1.050262e+00 2.565904e+00 1.074029e-01 -3.317749e-04 -2.529581e-04 -2.140344e-04 -2.683701e-04
 7547.895413 8.580436e-01 1.052967e+00 2.580236e+00 1.074764e-01 -3.359722e-04 -2.556641e-04 -2.125319e-04 -2.719918e-04
 7552.895413 8.570303e-01 1.055558e+00 2.593837e+00 1.076055e-01 -3.335787e-04 -2.517741e-04 -2.046370e-04 -2.718733e-04
 7557.895413 8.561479e-01 1.058345e+00 2.606687e+00 1.080114e-01 -3.375964e-04 -2.476014e-04 -2.044951e-04 -2.701666e-04
 7562.895413 8.544586e-01 1.059844e+00 2.616473e+00 1.081247e-01 -3.379303e-04 -2.549494e-04 -2.043549e-04 -2.700387e-04
 7567.895413 8.535252e-01 1.062341e+00 2.630020e+00 1.084008e-01 -3.423853e-04 -2.559831e-04 -2.121364e-04 -2.678928e-04
 7572.895413 8.511117e-01 1.063711e+00 2.640297e+00 1.082090e-01 -3.468918e-04 -2.557308e-04 -2.147162e-04 -2.644166e-04
 7577.895413 8.510261e-01 1.068244e+00 2.658435e+00 1.084084e-01 -3.513675e-04 -2.557395e-04 -2.154633e-04 -2.977766e-04
 7582.895413 8.509006e-01 1.072175e+00 2.674618e+00 1.088132e-01 -3.434570e-04 -2.581850e-04 -2.186159e-04 -2.999844e-04
 7587.895413 8.501408e-01 1.075324e+00 2.689157e+00 1.086683e-01 -3.445050e-04 -2.549888e-04 -2.189112e-04 -3.059626e-04
 7592.895413 8.490804e-01 1.077847e+00 2.702521e+00 1.092430e-01 -3.428947e-04 -2.483170e-04 -2.289773e-04 -2.983207e-04
 7597.895413 8.479905e-01 1.080949e+00 2.717278e+00 1.093157e-01 -3.388724e-04 -2.514836e-04 -2.368090e-04 -2.953187e-04
 7602.895413 8.457334e-01 1.082453e+00 2.727484e+00 1.092621e-01 -3.411760e-04 -2.588004e-04 -2.405394e-04 -2.777242e-04
 7607.895413 8.463657e-01 1.087518e+00 2.747275e+00 1.098115e-01 -3.430630e-04 -2.576623e-04 -2.368081e-04 -2.797793e-04
 7612.895413 8.457067e-01 1.090869e+00 2.763091e+00 1.098501e-01 -3.515051e-04 -2.509801e-04 -2.363752e-04 -2.705631e-04
 7617.895413 8.453184e-01 1.094505e+00 2.778971e+00 1.098928e-01 -3.474512e-04 -2.534015e-04 -2.414059e-04 -2.713220e-04
 7622.895413 8.446574e-01 1.097735e+00 2.793660e+00 1.099922e-01 -3.454990e-04 -2.497969e-04 -2.387465e-04 -2.738437e-04
 7627.895413 8.439231e-01 1.101093e+00 2.809146e+00 1.104649e-01 -3.438418e-04 -2.505450e-04 -2.381995e-04 -2.834323e-04
 7632.895413 8.424899e-01 1.103079e+00 2.821962e+00 1.105731e-01 -3.470986e-04 -2.489650e-04 -2.407656e-04 -2.726260e-04
 7637.895413 8.417905e-01 1.106318e+00 2.836326e+00 1.108746e-01 -3.424626e-04 -2.492643e-04 -2.359180e-04 -2.864741e-04
