# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 26173
# UID: 741f9783-688a-4ee8-bf97-83ed88ed896f
# Comment: 
# Start time: 06/10/2022  07:53:29
# Stop time: 06/10/2022  07:54:01
# Total time: 00:32
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 29.80 sccm He + 69.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 79.80 sccm N2 + 20.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 25.26 mm Vertical: -26.52 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.877096 4.337373e-01 5.214497e-01 1.259637e+00 5.380147e-02 -1.910761e-04 -1.465883e-04 -1.194702e-04 -1.462505e-04
 7522.877096 8.577399e-01 1.033729e+00 2.500896e+00 1.065402e-01 -3.789972e-04 -2.922122e-04 -2.374770e-04 -2.820777e-04
 7527.877096 8.648505e-01 1.046266e+00 2.537655e+00 1.077392e-01 -3.783228e-04 -2.975959e-04 -2.358993e-04 -2.800008e-04
 7532.877096 8.650657e-01 1.050606e+00 2.554601e+00 1.080062e-01 -3.752096e-04 -3.022395e-04 -2.389785e-04 -2.362557e-04
 7537.877096 8.639449e-01 1.053144e+00 2.567233e+00 1.081382e-01 -3.807480e-04 -2.931184e-04 -2.313570e-04 -2.249731e-04
 7542.877096 8.621369e-01 1.054904e+00 2.577695e+00 1.081432e-01 -3.858093e-04 -2.825255e-04 -2.249892e-04 -2.323063e-04
 7547.877096 8.610524e-01 1.057603e+00 2.590896e+00 1.082814e-01 -3.931110e-04 -2.869112e-04 -2.303024e-04 -2.364683e-04
 7552.877096 8.606011e-01 1.060869e+00 2.605644e+00 1.085265e-01 -3.925033e-04 -2.878844e-04 -2.299964e-04 -2.499283e-04
 7557.877096 8.596499e-01 1.063711e+00 2.619804e+00 1.089893e-01 -3.908451e-04 -3.057244e-04 -2.260472e-04 -2.555577e-04
 7562.877096 8.577375e-01 1.064993e+00 2.629615e+00 1.093213e-01 -3.818333e-04 -3.048201e-04 -2.278365e-04 -2.501204e-04
 7567.877096 8.564880e-01 1.067314e+00 2.642164e+00 1.092041e-01 -3.927016e-04 -3.095746e-04 -2.368448e-04 -2.521606e-04
 7572.877096 8.568836e-01 1.072456e+00 2.662057e+00 1.094542e-01 -3.846662e-04 -3.028640e-04 -2.343557e-04 -2.589766e-04
 7577.877096 8.549133e-01 1.073831e+00 2.671501e+00 1.096937e-01 -3.650749e-04 -2.956331e-04 -2.237617e-04 -2.728336e-04
 7582.877096 8.536142e-01 1.075958e+00 2.683755e+00 1.095755e-01 -3.604265e-04 -2.919117e-04 -2.180000e-04 -2.548278e-04
 7587.877096 8.541379e-01 1.080970e+00 2.703173e+00 1.100843e-01 -3.562245e-04 -2.856574e-04 -2.177356e-04 -2.524619e-04
 7592.877096 8.535428e-01 1.084339e+00 2.719151e+00 1.103744e-01 -3.695771e-04 -2.814496e-04 -2.139770e-04 -2.573119e-04
 7597.877096 8.512237e-01 1.085429e+00 2.728601e+00 1.101832e-01 -3.751710e-04 -2.789835e-04 -2.227071e-04 -2.623867e-04
 7602.877096 8.491223e-01 1.086814e+00 2.739477e+00 1.099140e-01 -3.691717e-04 -2.809851e-04 -2.268597e-04 -2.544983e-04
 7607.877096 8.508115e-01 1.093243e+00 2.762761e+00 1.106115e-01 -3.568226e-04 -2.796971e-04 -2.109978e-04 -2.540321e-04
 7612.877096 8.499395e-01 1.096432e+00 2.777152e+00 1.106823e-01 -3.625814e-04 -2.764112e-04 -2.206433e-04 -2.618380e-04
 7617.877096 8.486686e-01 1.098692e+00 2.789557e+00 1.112816e-01 -3.735637e-04 -2.905271e-04 -2.339865e-04 -2.645174e-04
 7622.877096 8.485083e-01 1.102565e+00 2.806550e+00 1.112453e-01 -3.783352e-04 -2.852519e-04 -2.280453e-04 -2.633978e-04
 7627.877096 8.470433e-01 1.104636e+00 2.818080e+00 1.114427e-01 -3.862203e-04 -2.885082e-04 -2.253279e-04 -2.608725e-04
 7632.877096 8.474669e-01 1.109630e+00 2.837508e+00 1.116133e-01 -3.881801e-04 -2.876441e-04 -2.258695e-04 -2.563906e-04
 7637.877096 8.456464e-01 1.111125e+00 2.847553e+00 1.118949e-01 -3.850383e-04 -2.876474e-04 -2.301712e-04 -2.622192e-04
 7642.877096 8.455770e-01 1.115276e+00 2.864986e+00 1.120558e-01 -3.780258e-04 -2.878929e-04 -2.372214e-04 -2.597611e-04
 7647.877096 8.425377e-01 1.114772e+00 2.869690e+00 1.119852e-01 -3.699257e-04 -2.856917e-04 -2.273947e-04 -2.511463e-04
 7652.877096 8.421657e-01 1.118818e+00 2.886556e+00 1.120811e-01 -3.712773e-04 -2.745095e-04 -2.202738e-04 -2.508889e-04
 7657.877096 8.413809e-01 1.121822e+00 2.900696e+00 1.125317e-01 -3.733291e-04 -2.784835e-04 -2.242903e-04 -2.564067e-04
 7662.877096 8.414719e-01 1.126605e+00 2.919877e+00 1.129635e-01 -3.632702e-04 -2.741934e-04 -2.292937e-04 -2.543672e-04
 7667.877096 8.415759e-01 1.131207e+00 2.938549e+00 1.133084e-01 -3.764987e-04 -2.590165e-04 -2.278815e-04 -2.468076e-04
 7672.877096 8.414727e-01 1.135444e+00 2.955057e+00 1.133977e-01 -3.932824e-04 -2.702928e-04 -2.277350e-04 -2.451428e-04
 7677.877096 8.407100e-01 1.138747e+00 2.969352e+00 1.132817e-01 -3.907951e-04 -2.691308e-04 -2.261860e-04 -2.412665e-04
 7679.000000 8.406719e-01 1.139803e+00 2.972751e+00 1.127970e-01 -3.937531e-04 -2.665821e-04 -2.338617e-04 -2.464185e-04
 7680.000000 8.395486e-01 1.138932e+00 2.971986e+00 1.140333e-01 -3.998578e-04 -2.700259e-04 -2.371876e-04 -2.504495e-04
 7681.000000 8.386388e-01 1.138758e+00 2.972143e+00 1.128408e-01 -4.057263e-04 -2.681988e-04 -2.272065e-04 -2.486767e-04
 7682.000000 8.376460e-01 1.138117e+00 2.972419e+00 1.130451e-01 -4.005328e-04 -2.729878e-04 -2.161205e-04 -2.397325e-04
 7683.000000 8.249566e-01 1.121433e+00 2.929177e+00 1.120988e-01 -3.956059e-04 -2.717148e-04 -2.154182e-04 -2.375574e-04
 7684.000000 8.115549e-01 1.104538e+00 2.885357e+00 1.103822e-01 -3.924242e-04 -2.696427e-04 -2.305826e-04 -2.465682e-04
 7685.000000 8.360407e-01 1.138188e+00 2.972554e+00 1.140101e-01 -3.896547e-04 -2.717001e-04 -2.429935e-04 -2.371256e-04
 7686.000000 8.406669e-01 1.145583e+00 2.991427e+00 1.144029e-01 -3.858687e-04 -2.910654e-04 -2.374737e-04 -2.480557e-04
 7686.200000 8.352072e-01 1.138472e+00 2.973347e+00 1.098602e-01 -3.817452e-04 -2.956377e-04 -2.377613e-04 -2.437083e-04
 7686.400000 8.468288e-01 1.154826e+00 3.017595e+00 1.165266e-01 -3.807487e-04 -2.948620e-04 -2.391039e-04 -2.385970e-04
 7686.600000 8.435921e-01 1.149771e+00 3.005981e+00 1.145324e-01 -3.792829e-04 -2.896464e-04 -2.389844e-04 -2.418515e-04
 7686.800000 8.463685e-01 1.153929e+00 3.015916e+00 1.152093e-01 -3.889102e-04 -2.908523e-04 -2.419923e-04 -2.530044e-04
 7687.000000 8.440383e-01 1.150956e+00 3.007490e+00 1.197519e-01 -3.974042e-04 -2.750980e-04 -2.442389e-04 -2.585519e-04
 7687.200000 8.444723e-01 1.151747e+00 3.008979e+00 1.140519e-01 -3.929085e-04 -2.836689e-04 -2.219056e-04 -2.517840e-04
 7687.400000 8.367401e-01 1.141193e+00 2.982149e+00 1.166257e-01 -3.898551e-04 -2.711797e-04 -2.145074e-04 -2.570761e-04
 7687.600000 8.370509e-01 1.141667e+00 2.983246e+00 1.133071e-01 -3.861898e-04 -2.679691e-04 -2.052356e-04 -2.515865e-04
 7687.800000 8.341045e-01 1.138449e+00 2.975029e+00 1.110226e-01 -3.809006e-04 -2.676779e-04 -2.166387e-04 -2.488732e-04
 7688.000000 8.492176e-01 1.158805e+00 3.030980e+00 1.167416e-01 -3.862720e-04 -2.692273e-04 -2.238247e-04 -2.535160e-04
 7688.200000 8.426037e-01 1.149971e+00 3.006565e+00 1.163968e-01 -3.839825e-04 -2.663612e-04 -2.350562e-04 -2.504475e-04
 7688.400000 8.445232e-01 1.152552e+00 3.011644e+00 1.135439e-01 -3.746680e-04 -2.669982e-04 -2.092214e-04 -2.413699e-04
 7688.600000 8.385519e-01 1.144408e+00 2.991218e+00 1.136070e-01 -3.793786e-04 -2.587189e-04 -2.192051e-04 -2.478276e-04
 7688.800000 8.437877e-01 1.152361e+00 3.014035e+00 1.148830e-01 -3.728292e-04 -2.696680e-04 -2.328268e-04 -2.494294e-04
 7689.000000 8.393251e-01 1.146829e+00 2.995927e+00 1.142833e-01 -3.660426e-04 -2.813714e-04 -2.345550e-04 -2.442112e-04
 7689.200000 8.393817e-01 1.146922e+00 2.997650e+00 1.119945e-01 -3.681552e-04 -2.875069e-04 -2.577606e-04 -2.523383e-04
 7689.400000 8.474786e-01 1.158088e+00 3.028021e+00 1.159315e-01 -3.758094e-04 -2.845414e-04 -2.365168e-04 -2.483901e-04
 7689.600000 8.382755e-01 1.145059e+00 2.994901e+00 1.130096e-01 -3.716442e-04 -2.770131e-04 -2.193782e-04 -2.427458e-04
 7689.800000 8.428635e-01 1.151889e+00 3.011960e+00 1.152063e-01 -3.731455e-04 -2.704385e-04 -2.385704e-04 -2.552811e-04
 7690.000000 8.402328e-01 1.147858e+00 3.001920e+00 1.144650e-01 -3.795305e-04 -2.731135e-04 -2.327777e-04 -2.428878e-04
 7690.200000 8.337271e-01 1.139166e+00 2.978273e+00 1.135384e-01 -3.769971e-04 -2.623037e-04 -2.228902e-04 -2.326130e-04
 7690.400000 8.373921e-01 1.144946e+00 2.995736e+00 1.138937e-01 -3.768637e-04 -2.686078e-04 -2.415984e-04 -2.424479e-04
 7690.600000 8.506738e-01 1.163315e+00 3.042948e+00 1.148860e-01 -3.683189e-04 -2.819465e-04 -2.407877e-04 -2.319380e-04
 7690.800000 8.308826e-01 1.135629e+00 2.970187e+00 1.142952e-01 -3.637176e-04 -2.872630e-04 -2.296960e-04 -2.313417e-04
 7691.000000 8.445218e-01 1.155244e+00 3.020634e+00 1.151136e-01 -3.952314e-04 -2.933939e-04 -2.484708e-04 -2.364631e-04
 7691.200000 8.385387e-01 1.146725e+00 2.998919e+00 1.166671e-01 -3.890869e-04 -2.857877e-04 -2.524423e-04 -2.307714e-04
 7691.400000 8.396017e-01 1.148374e+00 3.003150e+00 1.125125e-01 -3.820461e-04 -2.881369e-04 -2.381655e-04 -2.412480e-04
 7691.600000 8.431302e-01 1.153706e+00 3.019455e+00 1.113844e-01 -3.772467e-04 -2.833737e-04 -2.397247e-04 -2.472946e-04
 7691.800000 8.327620e-01 1.139484e+00 2.981005e+00 1.159491e-01 -3.857123e-04 -2.802187e-04 -2.268667e-04 -2.279392e-04
 7692.000000 8.424243e-01 1.152575e+00 3.013910e+00 1.136397e-01 -4.003590e-04 -2.798646e-04 -2.457953e-04 -2.396213e-04
 7692.200000 8.442021e-01 1.155910e+00 3.021415e+00 1.135802e-01 -3.928322e-04 -2.804322e-04 -2.430592e-04 -2.434738e-04
 7692.400000 8.406424e-01 1.150794e+00 3.007006e+00 1.132946e-01 -3.881753e-04 -2.775899e-04 -2.455760e-04 -2.383902e-04
 7692.600000 8.321624e-01 1.139601e+00 2.978458e+00 1.113876e-01 -3.708648e-04 -2.764050e-04 -2.393329e-04 -2.360075e-04
 7692.800000 8.449531e-01 1.157278e+00 3.025156e+00 1.152536e-01 -3.834790e-04 -2.878272e-04 -2.339474e-04 -2.297413e-04
 7693.000000 8.451309e-01 1.157921e+00 3.027678e+00 1.177565e-01 -3.840455e-04 -2.941469e-04 -2.266368e-04 -2.358853e-04
 7693.200000 8.389964e-01 1.149741e+00 3.004995e+00 1.152992e-01 -3.769196e-04 -2.905985e-04 -2.268090e-04 -2.435945e-04
 7693.400000 8.412039e-01 1.152951e+00 3.013204e+00 1.148252e-01 -3.854308e-04 -2.841034e-04 -2.249479e-04 -2.421385e-04
 7693.600000 8.434462e-01 1.156130e+00 3.021671e+00 1.133627e-01 -3.742688e-04 -2.785748e-04 -2.123513e-04 -2.448171e-04
 7693.800000 8.404639e-01 1.151378e+00 3.009051e+00 1.132172e-01 -3.819725e-04 -2.931107e-04 -2.334259e-04 -2.517562e-04
 7694.000000 8.312959e-01 1.139287e+00 2.975631e+00 1.125783e-01 -3.699082e-04 -2.901266e-04 -2.318191e-04 -2.429723e-04
 7694.200000 8.436602e-01 1.156841e+00 3.025644e+00 1.159248e-01 -3.753005e-04 -2.874113e-04 -2.289925e-04 -2.442535e-04
