# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 26259
# UID: bab76e9b-ec1f-4387-9449-9b95dc871517
# Comment: 
# Start time: 06/10/2022  08:46:16
# Stop time: 06/10/2022  08:46:48
# Total time: 00:32
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 29.80 sccm He + 69.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 79.80 sccm N2 + 20.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 25.26 mm Vertical: -26.52 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.895413 4.323393e-01 5.195576e-01 1.254020e+00 5.358160e-02 -1.922246e-04 -1.543929e-04 -1.209893e-04 -1.533282e-04
 7522.895413 8.552960e-01 1.030230e+00 2.490858e+00 1.061498e-01 -3.736401e-04 -3.002039e-04 -2.410988e-04 -3.246619e-04
 7527.895413 8.617808e-01 1.041774e+00 2.524568e+00 1.073784e-01 -3.746504e-04 -3.051909e-04 -2.532263e-04 -3.253068e-04
 7532.895413 8.613604e-01 1.045371e+00 2.540138e+00 1.076808e-01 -3.855676e-04 -3.034188e-04 -2.545728e-04 -2.900389e-04
 7537.895413 8.606994e-01 1.048494e+00 2.554281e+00 1.080101e-01 -3.791323e-04 -2.961935e-04 -2.530803e-04 -2.756488e-04
 7542.895413 8.591985e-01 1.050783e+00 2.566542e+00 1.079577e-01 -3.787738e-04 -3.029933e-04 -2.497949e-04 -2.770793e-04
 7547.895413 8.582273e-01 1.053641e+00 2.580050e+00 1.079666e-01 -3.745681e-04 -3.072324e-04 -2.592509e-04 -2.689544e-04
 7552.895413 8.575008e-01 1.056625e+00 2.593980e+00 1.081457e-01 -3.855642e-04 -3.075915e-04 -2.659917e-04 -2.719708e-04
 7557.895413 8.565200e-01 1.059392e+00 2.607805e+00 1.082106e-01 -3.908742e-04 -3.114844e-04 -2.627149e-04 -2.778607e-04
 7562.895413 8.550845e-01 1.061528e+00 2.620276e+00 1.083522e-01 -3.831915e-04 -3.097128e-04 -2.646905e-04 -2.861204e-04
 7567.895413 8.539532e-01 1.063886e+00 2.633328e+00 1.087882e-01 -3.786922e-04 -3.089776e-04 -2.630365e-04 -2.837635e-04
 7572.895413 8.529305e-01 1.066966e+00 2.647060e+00 1.087686e-01 -3.799737e-04 -3.081785e-04 -2.603150e-04 -2.891416e-04
 7577.895413 8.513236e-01 1.069000e+00 2.658795e+00 1.090078e-01 -3.862855e-04 -3.001409e-04 -2.549027e-04 -2.874634e-04
 7582.895413 8.510620e-01 1.072976e+00 2.675417e+00 1.094527e-01 -3.837409e-04 -3.021838e-04 -2.502548e-04 -2.872276e-04
 7587.895413 8.499921e-01 1.075693e+00 2.688573e+00 1.091778e-01 -3.831942e-04 -3.060664e-04 -2.522684e-04 -2.871987e-04
 7592.895413 8.495238e-01 1.079059e+00 2.703405e+00 1.096879e-01 -3.892222e-04 -3.201235e-04 -2.481497e-04 -2.839755e-04
 7597.895413 8.481933e-01 1.081526e+00 2.716869e+00 1.096466e-01 -3.841262e-04 -3.235701e-04 -2.381265e-04 -2.788479e-04
 7602.895413 8.457301e-01 1.082546e+00 2.726219e+00 1.097861e-01 -3.822197e-04 -3.276493e-04 -2.413380e-04 -2.814745e-04
 7607.895413 8.469901e-01 1.088275e+00 2.747644e+00 1.101576e-01 -3.845630e-04 -3.271603e-04 -2.464327e-04 -2.757424e-04
 7612.895413 8.464980e-01 1.091780e+00 2.763221e+00 1.102069e-01 -3.814501e-04 -3.167106e-04 -2.412975e-04 -2.802616e-04
 7617.895413 8.458088e-01 1.095059e+00 2.778543e+00 1.106718e-01 -3.826444e-04 -3.104453e-04 -2.325566e-04 -2.980348e-04
 7622.895413 8.452221e-01 1.098372e+00 2.793315e+00 1.109664e-01 -3.821652e-04 -3.135862e-04 -2.361683e-04 -2.886379e-04
 7627.895413 8.446514e-01 1.101870e+00 2.809619e+00 1.111065e-01 -3.802599e-04 -3.083253e-04 -2.376301e-04 -2.813456e-04
 7632.895413 8.436743e-01 1.104567e+00 2.822489e+00 1.111329e-01 -3.812842e-04 -3.037833e-04 -2.331131e-04 -2.758087e-04
 7637.895413 8.430617e-01 1.108136e+00 2.838266e+00 1.112174e-01 -3.704559e-04 -2.983768e-04 -2.332852e-04 -2.784003e-04
 7642.895413 8.415805e-01 1.110163e+00 2.849952e+00 1.115221e-01 -3.753472e-04 -3.042931e-04 -2.469579e-04 -2.704944e-04
 7647.895413 8.391901e-01 1.110485e+00 2.857375e+00 1.116932e-01 -3.771173e-04 -3.006965e-04 -2.490283e-04 -2.836245e-04
 7652.895413 8.371664e-01 1.111919e+00 2.868568e+00 1.115606e-01 -3.796462e-04 -2.997094e-04 -2.508089e-04 -2.858104e-04
 7657.895413 8.368038e-01 1.115528e+00 2.884493e+00 1.117367e-01 -3.832306e-04 -2.977479e-04 -2.499117e-04 -2.884730e-04
 7662.895413 8.378335e-01 1.121523e+00 2.906552e+00 1.121016e-01 -3.795636e-04 -3.010277e-04 -2.448824e-04 -2.910291e-04
 7667.895413 8.377017e-01 1.125547e+00 2.923526e+00 1.125515e-01 -3.803832e-04 -3.084879e-04 -2.626610e-04 -2.792407e-04
 7672.895413 8.374196e-01 1.129645e+00 2.939666e+00 1.129140e-01 -3.913095e-04 -3.057052e-04 -2.553494e-04 -2.770806e-04
 7677.895413 8.372914e-01 1.133936e+00 2.956809e+00 1.133751e-01 -3.904344e-04 -3.023446e-04 -2.606813e-04 -2.772591e-04
 7679.000000 8.364228e-01 1.133493e+00 2.957686e+00 1.135225e-01 -3.909136e-04 -3.020393e-04 -2.538262e-04 -2.700115e-04
 7680.000000 8.362165e-01 1.133993e+00 2.958761e+00 1.124418e-01 -3.910592e-04 -3.064784e-04 -2.490028e-04 -2.724819e-04
 7681.000000 8.361814e-01 1.135031e+00 2.964077e+00 1.134234e-01 -3.913601e-04 -3.031404e-04 -2.538271e-04 -2.816349e-04
 7682.000000 8.325980e-01 1.131018e+00 2.953150e+00 1.126033e-01 -3.954360e-04 -3.032668e-04 -2.401540e-04 -2.750167e-04
 7683.000000 8.235028e-01 1.119703e+00 2.924237e+00 1.117338e-01 -3.927592e-04 -3.066833e-04 -2.435096e-04 -2.776787e-04
 7684.000000 8.071088e-01 1.097876e+00 2.868491e+00 1.090605e-01 -3.931640e-04 -3.112076e-04 -2.535958e-04 -2.888557e-04
 7685.000000 8.326138e-01 1.132945e+00 2.959308e+00 1.134048e-01 -3.957262e-04 -3.085636e-04 -2.599283e-04 -2.872151e-04
 7686.000000 8.387859e-01 1.142861e+00 2.985955e+00 1.153159e-01 -3.911589e-04 -3.004286e-04 -2.591193e-04 -2.911510e-04
 7686.200000 8.414619e-01 1.146774e+00 2.996163e+00 1.175489e-01 -3.980167e-04 -2.949257e-04 -2.511899e-04 -2.928473e-04
 7686.400000 8.419787e-01 1.147547e+00 2.998407e+00 1.145092e-01 -3.910171e-04 -2.957837e-04 -2.498546e-04 -2.909858e-04
 7686.600000 8.357420e-01 1.138445e+00 2.975213e+00 1.102429e-01 -3.914150e-04 -2.938889e-04 -2.628826e-04 -2.740697e-04
 7686.800000 8.347512e-01 1.137475e+00 2.971944e+00 1.136209e-01 -4.020707e-04 -2.946183e-04 -2.869977e-04 -2.899225e-04
 7687.000000 8.364358e-01 1.140099e+00 2.979979e+00 1.096116e-01 -3.933346e-04 -3.040331e-04 -2.687024e-04 -2.851642e-04
 7687.200000 8.250041e-01 1.124661e+00 2.942121e+00 1.104097e-01 -3.875339e-04 -3.085453e-04 -2.571824e-04 -2.797434e-04
 7687.400000 8.455717e-01 1.153022e+00 3.014373e+00 1.185743e-01 -3.999937e-04 -3.142512e-04 -2.397219e-04 -2.847891e-04
 7687.600000 8.393690e-01 1.144493e+00 2.991856e+00 1.145532e-01 -3.933264e-04 -3.118201e-04 -2.375568e-04 -2.998430e-04
 7687.800000 8.413337e-01 1.147475e+00 2.996008e+00 1.155496e-01 -3.908111e-04 -3.073068e-04 -2.589121e-04 -2.992170e-04
 7688.000000 8.398717e-01 1.145957e+00 2.993099e+00 1.115468e-01 -3.899274e-04 -3.019772e-04 -2.682099e-04 -2.909029e-04
 7688.200000 8.319627e-01 1.134790e+00 2.966855e+00 1.126186e-01 -3.848896e-04 -2.882892e-04 -2.620807e-04 -2.906771e-04
 7688.400000 8.361243e-01 1.141203e+00 2.982975e+00 1.158925e-01 -3.914836e-04 -2.864534e-04 -2.673194e-04 -2.935308e-04
 7688.600000 8.397225e-01 1.146324e+00 2.994329e+00 1.140857e-01 -3.979388e-04 -2.935647e-04 -2.646131e-04 -2.985640e-04
 7688.800000 8.379961e-01 1.143954e+00 2.986644e+00 1.111637e-01 -3.933051e-04 -2.953659e-04 -2.558300e-04 -2.968658e-04
 7689.000000 8.262738e-01 1.128068e+00 2.947446e+00 1.136483e-01 -3.775341e-04 -2.835860e-04 -2.522278e-04 -2.903927e-04
 7689.200000 8.367755e-01 1.142336e+00 2.986206e+00 1.138296e-01 -3.860108e-04 -2.975439e-04 -2.567039e-04 -2.922574e-04
 7689.400000 8.419989e-01 1.149969e+00 3.003642e+00 1.127103e-01 -3.891020e-04 -2.949053e-04 -2.589544e-04 -2.963828e-04
 7689.600000 8.241772e-01 1.125576e+00 2.941070e+00 1.104030e-01 -3.691598e-04 -2.850207e-04 -2.476639e-04 -2.878898e-04
 7689.800000 8.408039e-01 1.148716e+00 3.001053e+00 1.167052e-01 -3.835335e-04 -2.935705e-04 -2.537339e-04 -2.955895e-04
 7690.000000 8.312442e-01 1.135756e+00 2.967967e+00 1.135851e-01 -3.796478e-04 -2.970835e-04 -2.478976e-04 -2.877973e-04
 7690.200000 8.426146e-01 1.151843e+00 3.010494e+00 1.150781e-01 -3.868703e-04 -2.956864e-04 -2.565565e-04 -2.926324e-04
 7690.400000 8.366588e-01 1.144138e+00 2.990414e+00 1.083354e-01 -3.836731e-04 -2.979185e-04 -2.532011e-04 -2.896406e-04
 7690.600000 8.331569e-01 1.138909e+00 2.975356e+00 1.141162e-01 -3.803524e-04 -3.019307e-04 -2.501930e-04 -2.943773e-04
 7690.800000 8.399779e-01 1.147733e+00 2.999687e+00 1.142851e-01 -3.822267e-04 -3.012122e-04 -2.646946e-04 -3.005678e-04
 7691.000000 8.318522e-01 1.136514e+00 2.968253e+00 1.145554e-01 -3.751920e-04 -3.026682e-04 -2.598988e-04 -2.917162e-04
 7691.200000 8.369590e-01 1.144005e+00 2.992083e+00 1.154343e-01 -3.761667e-04 -3.011167e-04 -2.593054e-04 -2.850364e-04
 7691.400000 8.455066e-01 1.156276e+00 3.020615e+00 1.138178e-01 -3.762276e-04 -3.055548e-04 -2.720998e-04 -3.044968e-04
 7691.600000 8.386284e-01 1.147328e+00 2.997961e+00 1.133208e-01 -3.744035e-04 -3.048698e-04 -2.654894e-04 -2.984266e-04
 7691.800000 8.350883e-01 1.141789e+00 2.982096e+00 1.121726e-01 -3.708624e-04 -3.146912e-04 -2.565619e-04 -2.862980e-04
 7692.000000 8.329434e-01 1.139161e+00 2.976205e+00 1.144037e-01 -3.745786e-04 -3.088543e-04 -2.393145e-04 -2.958544e-04
 7692.200000 8.318543e-01 1.138175e+00 2.976023e+00 1.137627e-01 -3.845962e-04 -3.032800e-04 -2.437073e-04 -2.934215e-04
 7692.400000 8.405445e-01 1.150478e+00 3.006679e+00 1.159535e-01 -3.935338e-04 -3.024809e-04 -2.317554e-04 -2.958077e-04
 7692.600000 8.358593e-01 1.144050e+00 2.991525e+00 1.105488e-01 -3.882300e-04 -2.957012e-04 -2.234087e-04 -2.948304e-04
 7692.800000 8.372549e-01 1.146639e+00 2.997114e+00 1.124620e-01 -3.875251e-04 -2.983151e-04 -2.453882e-04 -3.021118e-04
 7693.000000 8.389233e-01 1.148694e+00 3.000400e+00 1.134292e-01 -3.915837e-04 -3.081437e-04 -2.399692e-04 -2.881259e-04
 7693.200000 8.375432e-01 1.147391e+00 2.998176e+00 1.169784e-01 -3.905417e-04 -3.099476e-04 -2.332176e-04 -2.955871e-04
 7693.400000 8.349060e-01 1.144075e+00 2.989635e+00 1.126128e-01 -3.966071e-04 -2.947288e-04 -2.325368e-04 -2.964041e-04
 7693.600000 8.410458e-01 1.152460e+00 3.012069e+00 1.119513e-01 -3.987857e-04 -2.951584e-04 -2.505353e-04 -2.982874e-04
 7693.800000 8.238910e-01 1.128904e+00 2.948273e+00 1.151115e-01 -3.882640e-04 -2.974133e-04 -2.377751e-04 -2.765960e-04
 7694.000000 8.478037e-01 1.162331e+00 3.036491e+00 1.156248e-01 -4.009414e-04 -3.030389e-04 -2.365850e-04 -2.879523e-04
 7694.200000 8.364433e-01 1.146512e+00 2.995403e+00 1.140932e-01 -4.011098e-04 -2.979070e-04 -2.305813e-04 -2.847515e-04
 7694.400000 8.346275e-01 1.144192e+00 2.987630e+00 1.143484e-01 -3.996421e-04 -2.935274e-04 -2.291727e-04 -2.776830e-04
 7694.600000 8.280340e-01 1.135521e+00 2.965547e+00 1.123660e-01 -3.995660e-04 -2.881916e-04 -2.365902e-04 -2.773853e-04
 7694.800000 8.398417e-01 1.151410e+00 3.010064e+00 1.158716e-01 -4.022226e-04 -2.999172e-04 -2.480442e-04 -2.836759e-04
 7695.000000 8.415456e-01 1.154500e+00 3.016248e+00 1.165985e-01 -3.983339e-04 -2.998839e-04 -2.483743e-04 -3.007470e-04
