# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 26260
# UID: adea5c34-6cfe-4bbc-9b29-c3fa22de75b9
# Comment: 
# Start time: 06/10/2022  08:46:53
# Stop time: 06/10/2022  08:47:25
# Total time: 00:32
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 29.70 sccm He + 69.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 79.80 sccm N2 + 20.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 25.26 mm Vertical: -26.52 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.877118 4.327701e-01 5.201206e-01 1.256086e+00 5.364678e-02 -1.951708e-04 -1.490546e-04 -1.193508e-04 -1.421861e-04
 7522.877118 8.561509e-01 1.031439e+00 2.495316e+00 1.062794e-01 -3.827953e-04 -2.914026e-04 -2.408259e-04 -2.810499e-04
 7527.877118 8.633685e-01 1.044119e+00 2.532127e+00 1.074056e-01 -3.925286e-04 -3.005065e-04 -2.495364e-04 -2.871421e-04
 7532.877118 8.626853e-01 1.047362e+00 2.546265e+00 1.075748e-01 -3.867411e-04 -2.985216e-04 -2.404699e-04 -2.821176e-04
 7537.877118 8.621995e-01 1.050709e+00 2.560377e+00 1.079114e-01 -3.840579e-04 -3.020149e-04 -2.440099e-04 -2.804004e-04
 7542.877118 8.610210e-01 1.053307e+00 2.573472e+00 1.081203e-01 -3.812665e-04 -3.022129e-04 -2.486821e-04 -2.829215e-04
 7547.877118 8.600404e-01 1.056242e+00 2.587462e+00 1.081224e-01 -3.930596e-04 -2.976251e-04 -2.482568e-04 -2.907030e-04
 7552.877118 8.590282e-01 1.058974e+00 2.601044e+00 1.086134e-01 -3.901287e-04 -3.014729e-04 -2.399554e-04 -2.879078e-04
 7557.877118 8.575520e-01 1.060976e+00 2.612506e+00 1.088771e-01 -3.888806e-04 -2.943093e-04 -2.355235e-04 -2.927831e-04
 7562.877118 8.558965e-01 1.062605e+00 2.622655e+00 1.086699e-01 -3.895633e-04 -2.922540e-04 -2.472186e-04 -2.847942e-04
