# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309337
# PI: Li
# Proposal: 309890
# Scan ID: 26261
# UID: 44b8a82e-d69d-4ee7-8266-dfb2d53ec0ed
# Comment: 
# Start time: 06/10/2022  08:47:30
# Stop time: 06/10/2022  08:48:02
# Total time: 00:32
# Trajectory name: Co-30s-7709.txt
# Element: Cobalt ( 27)
# Edge: K
# E0: 7709
# Reference Foil Element: Co
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 29.80 sccm He + 69.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 79.80 sccm N2 + 20.10 sccm Ar
# Incident Beam Path Vertical: -27.48 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -1.5 mm Outboard: 1.5 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 25.26 mm Vertical: -26.52 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7517.895413 4.330335e-01 5.206810e-01 1.257693e+00 5.373919e-02 -1.964407e-04 -1.458650e-04 -1.212468e-04 -1.491563e-04
 7522.895413 8.564727e-01 1.032444e+00 2.497394e+00 1.064781e-01 -3.869272e-04 -2.850605e-04 -2.538186e-04 -2.945058e-04
 7527.895413 8.637074e-01 1.045051e+00 2.534024e+00 1.074232e-01 -3.846549e-04 -2.907027e-04 -2.680267e-04 -3.056757e-04
 7532.895413 8.631727e-01 1.048165e+00 2.548092e+00 1.077060e-01 -3.951279e-04 -2.941995e-04 -2.583681e-04 -3.016825e-04
 7537.895413 8.622569e-01 1.050986e+00 2.561999e+00 1.080540e-01 -3.957559e-04 -3.028540e-04 -2.516084e-04 -2.959604e-04
 7542.895413 8.606809e-01 1.053061e+00 2.573934e+00 1.081808e-01 -3.936539e-04 -3.154161e-04 -2.496490e-04 -2.922682e-04
 7547.895413 8.603328e-01 1.056640e+00 2.589022e+00 1.085805e-01 -3.866362e-04 -3.144091e-04 -2.571456e-04 -2.932369e-04
 7552.895413 8.592915e-01 1.059384e+00 2.602081e+00 1.082993e-01 -3.843057e-04 -3.020244e-04 -2.459538e-04 -3.020598e-04
 7557.895413 8.578015e-01 1.061446e+00 2.613819e+00 1.084469e-01 -3.903127e-04 -3.034624e-04 -2.403424e-04 -2.969644e-04
 7562.895413 8.565965e-01 1.063622e+00 2.625699e+00 1.086634e-01 -3.893737e-04 -3.108026e-04 -2.458148e-04 -3.016444e-04
