# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52226
# UID: b81b5d7a-c755-49ad-8938-2a74ae4371e2
# Comment: 
# Start time: 07/18/2022  10:50:27
# Stop time: 07/18/2022  10:50:59
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 14.07 mm Vertical: 35.31 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.830356 4.719003e-01 3.826963e-03 4.368109e-03 2.734278e-01 -3.423816e-05 -2.695393e-05 7.751891e-06 -4.691425e-05
11382.830356 9.336010e-01 7.608250e-03 8.702563e-03 5.416821e-01 -6.671799e-05 -5.960639e-05 1.116136e-05 -8.616189e-05
11387.830356 9.395014e-01 7.721645e-03 8.827087e-03 5.455071e-01 -5.479391e-05 -5.355204e-05 -4.377403e-06 -8.032188e-05
11392.830356 9.341154e-01 7.720788e-03 8.824920e-03 5.425571e-01 -5.878928e-05 -4.763285e-05 -8.597947e-06 -7.939754e-05
11397.830356 9.335363e-01 7.757928e-03 8.903579e-03 5.422667e-01 -6.326217e-05 -4.375317e-05 -6.548713e-06 -8.541449e-05
11402.830356 9.312212e-01 7.786744e-03 8.983420e-03 5.414434e-01 -6.935443e-05 -5.314902e-05 -5.637030e-06 -7.484795e-05
11407.830356 9.284046e-01 7.790337e-03 9.020779e-03 5.406338e-01 -7.722647e-05 -5.967151e-05 2.774094e-06 -7.702805e-05
11412.830356 9.284677e-01 7.853665e-03 9.096440e-03 5.412245e-01 -8.678985e-05 -4.988153e-05 3.352694e-06 -8.859766e-05
11417.830356 9.245904e-01 7.865767e-03 9.111222e-03 5.387553e-01 -8.170098e-05 -4.200436e-05 -2.965499e-06 -9.087567e-05
11422.830356 9.129408e-01 7.826011e-03 9.090352e-03 5.330440e-01 -7.597725e-05 -4.462396e-05 7.343934e-06 -9.213311e-05
11427.830356 9.254733e-01 7.975425e-03 9.273745e-03 5.419592e-01 -8.007655e-05 -4.242192e-05 6.498662e-06 -9.096233e-05
11432.830356 9.282982e-01 8.053438e-03 9.419402e-03 5.427519e-01 -8.387405e-05 -4.636432e-05 -3.952499e-06 -9.699198e-05
11437.830356 9.246096e-01 8.061535e-03 9.460890e-03 5.410091e-01 -8.651784e-05 -3.977135e-05 -7.092216e-06 -1.058808e-04
11442.830356 9.225543e-01 8.098004e-03 9.510259e-03 5.401749e-01 -8.645678e-05 -3.726248e-05 -1.425544e-05 -1.001591e-04
11447.830356 9.229923e-01 8.170862e-03 9.603764e-03 5.413073e-01 -7.793997e-05 -3.864884e-05 -1.654451e-05 -9.723133e-05
11452.830356 9.209085e-01 8.194200e-03 9.640843e-03 5.405996e-01 -6.730265e-05 -4.049647e-05 -6.399233e-06 -9.198207e-05
11457.830356 9.192522e-01 8.221392e-03 9.721835e-03 5.390610e-01 -7.448986e-05 -4.154551e-05 -8.740758e-06 -9.805979e-05
11462.830356 9.197654e-01 8.288490e-03 9.797611e-03 5.402340e-01 -7.990990e-05 -3.547163e-05 -1.311878e-06 -1.023287e-04
