# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52261
# UID: 164ea6e5-257c-4c94-beae-e963f2be0e0c
# Comment: 
# Start time: 07/18/2022  11:47:31
# Stop time: 07/18/2022  11:48:03
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 14.07 mm Vertical: 35.31 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.661588 4.761094e-01 3.861982e-03 4.396922e-03 2.767788e-01 -3.633372e-05 -3.043312e-05 1.387089e-05 -4.970793e-05
11382.661588 9.384925e-01 7.631878e-03 8.695750e-03 5.459013e-01 -6.831133e-05 -6.304873e-05 2.958775e-05 -1.037950e-04
11387.661588 9.434247e-01 7.724201e-03 8.804544e-03 5.495476e-01 -5.308071e-05 -7.307080e-05 3.195677e-05 -9.630855e-05
11392.661588 9.384101e-01 7.723253e-03 8.827751e-03 5.467619e-01 -5.415681e-05 -7.240810e-05 2.631101e-05 -9.379693e-05
11397.661588 9.379086e-01 7.749447e-03 8.893732e-03 5.464880e-01 -5.068027e-05 -6.818003e-05 2.285803e-05 -8.840567e-05
11402.661588 9.356772e-01 7.784638e-03 8.956101e-03 5.455095e-01 -4.659542e-05 -6.789079e-05 2.720279e-05 -8.463687e-05
11407.661588 9.353662e-01 7.833390e-03 9.025195e-03 5.464776e-01 -5.154371e-05 -6.288664e-05 2.918592e-05 -8.070067e-05
11412.661588 9.353736e-01 7.899504e-03 9.112941e-03 5.466501e-01 -5.796810e-05 -5.700783e-05 2.247646e-05 -7.828110e-05
11417.661588 9.316160e-01 7.917313e-03 9.162077e-03 5.449933e-01 -5.582221e-05 -5.377846e-05 1.552400e-05 -7.844421e-05
11422.661588 9.148120e-01 7.814696e-03 9.055858e-03 5.366747e-01 -5.438717e-05 -5.193036e-05 2.450232e-05 -6.904491e-05
11427.661588 9.265189e-01 7.967490e-03 9.258195e-03 5.451456e-01 -4.781266e-05 -5.135755e-05 2.450669e-05 -7.195026e-05
11432.661588 9.278342e-01 8.034889e-03 9.350164e-03 5.450185e-01 -4.966883e-05 -4.215034e-05 2.773011e-05 -7.121350e-05
11437.661588 9.246261e-01 8.052361e-03 9.403004e-03 5.428702e-01 -5.862930e-05 -5.445941e-05 2.117383e-05 -7.528740e-05
11442.661588 9.249854e-01 8.117029e-03 9.491894e-03 5.437830e-01 -5.110997e-05 -5.960389e-05 3.161865e-05 -7.989313e-05
11447.661588 9.230848e-01 8.139368e-03 9.514640e-03 5.431414e-01 -5.712879e-05 -5.436182e-05 3.733990e-05 -8.575569e-05
11452.661588 9.195549e-01 8.139698e-03 9.579628e-03 5.416514e-01 -6.891622e-05 -5.782034e-05 3.084099e-05 -8.808780e-05
11457.661588 9.152375e-01 8.126867e-03 9.603458e-03 5.392447e-01 -6.629526e-05 -5.874642e-05 3.996293e-05 -8.255934e-05
11462.661588 9.172729e-01 8.226082e-03 9.702311e-03 5.411770e-01 -6.250048e-05 -5.699717e-05 3.585900e-05 -7.507247e-05
11467.661588 9.147490e-01 8.244539e-03 9.781457e-03 5.398838e-01 -6.745626e-05 -5.431692e-05 4.079925e-05 -7.733326e-05
11472.661588 9.152293e-01 8.306898e-03 9.858485e-03 5.400560e-01 -7.308677e-05 -5.352891e-05 3.398650e-05 -7.679353e-05
11477.661588 9.127608e-01 8.345093e-03 9.891217e-03 5.396920e-01 -6.939273e-05 -5.046585e-05 3.632494e-05 -7.463425e-05
11482.661588 9.098415e-01 8.358957e-03 9.970457e-03 5.384562e-01 -7.642444e-05 -5.164885e-05 3.009850e-05 -7.690399e-05
11487.661588 8.974091e-01 8.305424e-03 9.913944e-03 5.320514e-01 -8.458753e-05 -4.876786e-05 2.877580e-05 -8.180307e-05
11492.661588 8.965169e-01 8.299864e-03 9.929342e-03 5.319659e-01 -8.511140e-05 -4.723395e-05 2.553688e-05 -8.485525e-05
11497.661588 9.062871e-01 8.459852e-03 1.011804e-02 5.384985e-01 -7.943627e-05 -5.505833e-05 2.786914e-05 -8.606446e-05
11502.661588 9.058346e-01 8.511260e-03 1.018377e-02 5.389910e-01 -7.800935e-05 -4.705807e-05 3.296797e-05 -8.927851e-05
11507.661588 9.072180e-01 8.586996e-03 1.030661e-02 5.400998e-01 -7.049846e-05 -4.009059e-05 3.870170e-05 -9.363497e-05
11512.661588 9.055759e-01 8.625800e-03 1.033953e-02 5.399566e-01 -7.606265e-05 -3.830166e-05 4.105881e-05 -9.177125e-05
