# Facility: NSLS-II
# Beamline: QAS
# Year: 2022
# Cycle: 2
# SAF: 309618
# PI: Wang
# Proposal: 309017
# Scan ID: 52231
# UID: 9a29101d-551d-4492-aced-63306123ea88
# Comment: 
# Start time: 07/18/2022  10:55:06
# Stop time: 07/18/2022  10:55:38
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E7 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 99.70 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 29.80 sccm N2 + 70.10 sccm Ar
# Incident Beam Path Vertical: -27.99 mm
# Incident Slits Positions B: TOP: 1.0 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: 17.03 mm Vertical: 2.93 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11377.572770 4.744780e-01 1.795658e-05 1.533706e-05 3.186594e-01 -3.721226e-05 -2.114059e-05 7.418712e-06 -7.157753e-05
11382.572770 9.382322e-01 2.715168e-05 2.152353e-05 6.306768e-01 -7.154229e-05 -4.479985e-05 1.228139e-05 -1.363689e-04
11387.572770 9.426580e-01 1.110324e-05 3.407162e-05 6.337714e-01 -8.112442e-05 -4.527071e-05 1.598684e-05 -1.143112e-04
11392.572770 9.389239e-01 1.181344e-05 3.087204e-05 6.312519e-01 -7.386186e-05 -5.347528e-05 2.267955e-05 -1.148749e-04
11397.572770 9.395247e-01 9.871810e-06 1.803468e-05 6.322796e-01 -7.246332e-05 -7.272361e-05 2.319690e-05 -1.190620e-04
11402.572770 9.364543e-01 9.675190e-06 1.658745e-05 6.312206e-01 -6.930221e-05 -6.076536e-05 2.359478e-05 -1.221820e-04
11407.572770 9.368321e-01 2.045243e-05 2.410417e-05 6.320285e-01 -6.594606e-05 -5.923118e-05 2.555418e-05 -1.191033e-04
11412.572770 9.343267e-01 2.836612e-05 2.949441e-05 6.304321e-01 -6.844871e-05 -4.611186e-05 2.288045e-05 -1.122570e-04
11417.572770 9.309999e-01 2.551152e-05 2.342516e-05 6.285258e-01 -6.817059e-05 -4.001713e-05 2.051779e-05 -1.141091e-04
11422.572770 9.177331e-01 2.038002e-05 2.296480e-05 6.218842e-01 -6.197793e-05 -5.312808e-05 2.704809e-05 -1.196652e-04
11427.572770 9.274640e-01 2.373163e-05 8.278258e-06 6.300084e-01 -5.582625e-05 -4.394240e-05 3.336990e-05 -1.172552e-04
11432.572770 9.292219e-01 2.883877e-05 1.276277e-05 6.306598e-01 -5.739469e-05 -4.183744e-05 3.189945e-05 -1.318722e-04
11437.572770 9.245327e-01 2.370947e-05 1.786931e-05 6.267257e-01 -6.337426e-05 -3.649176e-05 2.376779e-05 -1.672676e-04
11442.572770 9.211177e-01 3.445786e-05 1.278761e-06 6.254287e-01 -6.491091e-05 -3.284789e-05 2.634140e-05 -1.751706e-04
11447.572770 9.195690e-01 3.227168e-05 1.014213e-05 6.247393e-01 -6.170273e-05 -2.806502e-05 2.963189e-05 -1.739056e-04
11452.572770 9.203745e-01 2.742402e-05 2.331059e-05 6.258029e-01 -6.357431e-05 -2.959182e-05 2.562019e-05 -1.768718e-04
11457.572770 9.200347e-01 3.337043e-05 3.122773e-05 6.262638e-01 -6.200355e-05 -3.531246e-05 2.082011e-05 -1.751157e-04
11462.572770 9.175163e-01 3.064311e-05 3.984071e-05 6.248339e-01 -6.239104e-05 -3.746623e-05 2.811141e-05 -1.687196e-04
11467.572770 9.169539e-01 3.696749e-05 7.395434e-06 6.246205e-01 -6.097508e-05 -3.619304e-05 2.521996e-05 -1.578630e-04
11472.572770 9.146348e-01 3.768629e-05 5.492230e-06 6.246319e-01 -5.460614e-05 -3.813449e-05 2.876215e-05 -1.226134e-04
11477.572770 9.099432e-01 3.489992e-05 2.411535e-05 6.213312e-01 -5.319805e-05 -3.264377e-05 3.403669e-05 -1.171180e-04
11482.572770 9.089040e-01 3.857403e-05 2.283232e-05 6.209316e-01 -5.787697e-05 -2.916373e-05 2.914971e-05 -1.224517e-04
11487.572770 8.979063e-01 3.029650e-05 2.075739e-05 6.143248e-01 -6.337994e-05 -3.747370e-05 2.111496e-05 -1.196189e-04
11492.572770 9.003363e-01 2.941591e-05 2.733234e-05 6.158666e-01 -6.317143e-05 -2.809511e-05 1.785951e-05 -1.154469e-04
11497.572770 9.106887e-01 2.343183e-05 5.846206e-05 6.247920e-01 -7.131989e-05 -3.410231e-05 2.493529e-05 -1.150002e-04
11502.572770 9.089846e-01 2.258176e-05 2.185178e-05 6.246761e-01 -7.463944e-05 -3.502648e-05 2.195758e-05 -1.101436e-04
11507.572770 9.081137e-01 1.900320e-05 5.968376e-05 6.245037e-01 -6.936040e-05 -3.839571e-05 2.396748e-05 -1.204470e-04
11512.572770 9.038261e-01 2.168267e-05 1.837233e-05 6.215390e-01 -6.686871e-05 -4.246990e-05 2.794253e-05 -1.257808e-04
11517.572770 9.041238e-01 3.503811e-05 2.797928e-05 6.227560e-01 -7.091514e-05 -3.260880e-05 2.392529e-05 -1.244647e-04
11522.572770 9.031781e-01 3.516619e-05 5.099518e-05 6.235264e-01 -6.824111e-05 -4.030625e-05 2.238289e-05 -1.283385e-04
11527.572770 9.009856e-01 2.417484e-05 3.702834e-05 6.227359e-01 -6.775991e-05 -3.544929e-05 6.367000e-06 -1.245565e-04
11532.572770 9.007521e-01 2.395247e-05 3.034141e-05 6.237218e-01 -7.044782e-05 -3.963118e-05 1.584682e-05 -1.185349e-04
11534.000000 8.993862e-01 2.542887e-05 1.130989e-05 6.230048e-01 -7.243532e-05 -4.694639e-05 1.977364e-05 -1.070876e-04
11535.000000 9.035937e-01 4.193631e-05 4.617970e-05 6.268296e-01 -6.591605e-05 -5.315354e-05 1.477320e-05 -1.251165e-04
11536.000000 9.003030e-01 4.622375e-05 8.992558e-05 6.253824e-01 -7.053582e-05 -3.833064e-05 7.474315e-06 -1.166558e-04
11537.000000 9.007746e-01 4.801313e-05 5.879591e-05 6.252976e-01 -6.666436e-05 -2.915660e-05 6.100231e-06 -1.050514e-04
11538.000000 9.015330e-01 4.411692e-05 2.063548e-05 6.262538e-01 -6.374241e-05 -3.287854e-05 -5.365832e-07 -1.156851e-04
11539.000000 8.988699e-01 4.613422e-05 1.426511e-05 6.253960e-01 -6.749343e-05 -3.082405e-05 -3.757280e-06 -1.138434e-04
11540.000000 9.007905e-01 4.339247e-05 8.567687e-06 6.270642e-01 -7.719553e-05 -2.998362e-05 -4.580102e-06 -1.105122e-04
11541.000000 8.989560e-01 4.880333e-05 -1.891012e-05 6.267862e-01 -8.346146e-05 -2.343196e-05 7.941715e-06 -1.115014e-04
11541.200000 9.217898e-01 6.230325e-05 -3.081857e-05 6.436097e-01 -8.599217e-05 -2.505409e-05 9.645847e-06 -1.121578e-04
11541.400000 8.996427e-01 8.404222e-05 7.752694e-06 6.250068e-01 -8.901813e-05 -3.111166e-05 1.011263e-06 -1.044319e-04
11541.600000 8.993322e-01 3.957026e-05 -4.169019e-05 6.261766e-01 -8.856820e-05 -3.269640e-05 3.789480e-06 -9.848861e-05
11541.800000 9.256735e-01 7.251277e-05 1.348642e-04 6.414771e-01 -7.446142e-05 -3.534460e-05 -1.299082e-05 -1.031530e-04
11542.000000 8.937683e-01 -2.181069e-05 3.862238e-05 6.222451e-01 -6.905900e-05 -2.960372e-05 -1.786037e-06 -1.125573e-04
11542.200000 9.058466e-01 4.277559e-05 4.731990e-06 6.318858e-01 -7.057074e-05 -2.632358e-05 9.818307e-06 -1.117839e-04
11542.400000 8.887633e-01 6.213501e-05 -6.722882e-05 6.182237e-01 -8.103158e-05 -3.051721e-05 -5.355350e-07 -1.506553e-04
11542.600000 9.071357e-01 1.842551e-05 9.911218e-05 6.302336e-01 -6.655844e-05 -3.676686e-05 2.479376e-06 -1.721162e-04
11542.800000 8.933148e-01 6.039487e-05 -1.564478e-05 6.193479e-01 -6.918506e-05 -3.768604e-05 -2.748937e-06 -1.678700e-04
11543.000000 8.917013e-01 1.761931e-05 2.511724e-05 6.220184e-01 -7.419129e-05 -4.084852e-05 -1.154361e-05 -1.580688e-04
11543.200000 9.144660e-01 2.043551e-05 1.317068e-04 6.377732e-01 -7.757490e-05 -4.360835e-05 -8.018195e-06 -1.616570e-04
11543.400000 9.028489e-01 3.505518e-05 6.855444e-05 6.313270e-01 -8.484937e-05 -3.898723e-05 9.018464e-07 -1.706606e-04
11543.600000 8.993656e-01 4.961018e-05 9.592233e-05 6.288893e-01 -8.550375e-05 -4.462199e-05 8.220557e-06 -1.697712e-04
11543.800000 8.860052e-01 7.759853e-05 2.590535e-05 6.182748e-01 -8.909828e-05 -4.434159e-05 1.236970e-05 -1.529022e-04
11544.000000 9.077163e-01 4.666708e-05 1.137795e-04 6.304528e-01 -8.352474e-05 -5.138938e-05 5.887361e-06 -1.743901e-04
11544.200000 9.022076e-01 6.052242e-05 -7.269020e-05 6.294286e-01 -7.954904e-05 -3.597874e-05 -4.371585e-07 -1.890952e-04
11544.400000 8.840103e-01 1.754940e-05 8.835076e-05 6.198304e-01 -7.658310e-05 -4.497696e-05 1.050125e-05 -1.804721e-04
11544.600000 8.852038e-01 4.523739e-05 1.652078e-04 6.189872e-01 -7.322227e-05 -5.651117e-05 -6.505696e-06 -1.721986e-04
11544.800000 8.962952e-01 2.058150e-05 1.685744e-04 6.250736e-01 -7.993368e-05 -4.669993e-05 -2.850987e-06 -1.699338e-04
11545.000000 9.158174e-01 5.341686e-05 9.772291e-05 6.418028e-01 -7.843048e-05 -4.797886e-05 1.130996e-05 -1.668491e-04
11545.200000 8.860177e-01 4.486096e-05 -2.852070e-05 6.200336e-01 -7.764388e-05 -5.057936e-05 2.225329e-06 -1.764397e-04
11545.400000 9.021712e-01 2.297793e-05 6.808644e-05 6.267470e-01 -8.317108e-05 -4.243727e-05 2.828657e-06 -1.721915e-04
11545.600000 8.993695e-01 4.404249e-05 -1.694498e-04 6.263372e-01 -8.439890e-05 -4.723262e-05 -4.952886e-06 -1.582307e-04
11545.800000 9.046625e-01 3.623269e-06 3.840055e-05 6.346121e-01 -8.325224e-05 -4.863053e-05 2.151673e-06 -1.733723e-04
11546.000000 8.926807e-01 7.184830e-05 2.486799e-04 6.269091e-01 -8.126023e-05 -4.449222e-05 1.525929e-05 -1.596994e-04
11546.200000 9.043305e-01 7.894226e-05 8.519709e-06 6.349340e-01 -7.457130e-05 -4.862758e-05 5.492340e-06 -1.704647e-04
11546.400000 9.079619e-01 6.414919e-05 1.141979e-04 6.334013e-01 -8.536079e-05 -4.426039e-05 6.392083e-06 -1.719750e-04
11546.600000 8.934511e-01 2.280496e-05 4.479954e-05 6.231146e-01 -8.440680e-05 -3.598718e-05 1.901637e-05 -1.656308e-04
11546.800000 8.976965e-01 4.709771e-05 5.203344e-05 6.275916e-01 -8.303079e-05 -3.384053e-05 1.427218e-05 -1.678939e-04
11547.000000 8.637669e-01 5.320155e-05 -6.213046e-05 6.011670e-01 -8.525082e-05 -3.883762e-05 1.846775e-07 -1.664519e-04
11547.200000 8.615172e-01 2.360070e-06 6.489824e-05 6.007623e-01 -7.768649e-05 -4.938621e-05 -1.003558e-05 -1.690791e-04
11547.400000 8.949726e-01 4.757141e-05 2.467062e-05 6.281122e-01 -8.323760e-05 -5.989925e-05 5.520816e-06 -1.523966e-04
11547.600000 9.029446e-01 2.379456e-05 6.594367e-05 6.360098e-01 -7.197622e-05 -6.141725e-05 5.035960e-06 -1.456884e-04
11547.800000 9.121430e-01 5.267314e-05 -3.871629e-05 6.368468e-01 -7.031146e-05 -5.523435e-05 2.054790e-05 -1.549224e-04
11548.000000 8.912139e-01 6.154855e-05 1.225268e-04 6.231733e-01 -6.608262e-05 -5.149276e-05 2.555459e-05 -1.687062e-04
11548.200000 9.105383e-01 4.826502e-05 1.558823e-04 6.392877e-01 -5.954475e-05 -5.138229e-05 2.190715e-05 -1.695865e-04
11548.400000 8.958500e-01 1.813244e-05 1.856197e-04 6.257840e-01 -6.658949e-05 -4.674962e-05 4.591393e-06 -1.624765e-04
11548.600000 9.039049e-01 5.546403e-05 4.646301e-05 6.336664e-01 -6.358596e-05 -4.003472e-05 -4.497287e-07 -1.563526e-04
11548.800000 8.796268e-01 7.531485e-06 -1.695235e-04 6.162449e-01 -6.013016e-05 -4.121935e-05 -1.018495e-05 -1.510966e-04
11549.000000 9.110706e-01 6.016433e-05 9.235027e-05 6.419176e-01 -6.725868e-05 -4.129466e-05 -9.737860e-06 -1.694114e-04
11549.200000 9.082074e-01 -2.969693e-06 -5.208638e-05 6.381735e-01 -7.265295e-05 -4.889128e-05 5.744010e-06 -1.723175e-04
11549.400000 9.091948e-01 3.067549e-05 8.917121e-05 6.376322e-01 -5.972872e-05 -4.731150e-05 2.900654e-06 -1.492697e-04
11549.600000 8.954914e-01 -1.624148e-05 5.876381e-05 6.274822e-01 -5.812214e-05 -4.256226e-05 -5.169974e-06 -1.542087e-04
11549.800000 9.058998e-01 4.208955e-05 6.879235e-05 6.344262e-01 -6.081904e-05 -4.767275e-05 5.775242e-07 -1.203223e-04
11550.000000 8.943813e-01 5.055448e-05 1.041453e-05 6.287418e-01 -5.643210e-05 -4.248524e-05 8.129335e-06 -1.146735e-04
11550.200000 9.044562e-01 3.866262e-05 1.240800e-05 6.321257e-01 -6.152873e-05 -4.557886e-05 1.131108e-05 -1.193870e-04
11550.400000 9.055508e-01 1.240343e-05 -1.871386e-05 6.362424e-01 -6.436990e-05 -4.574443e-05 1.091329e-05 -1.120552e-04
11550.600000 9.035252e-01 2.588238e-05 3.845506e-05 6.365624e-01 -5.269570e-05 -3.613836e-05 3.737917e-06 -1.162460e-04
11550.800000 8.965044e-01 3.130676e-05 1.126325e-04 6.291300e-01 -5.020604e-05 -3.299886e-05 6.620557e-06 -1.234700e-04
11551.000000 8.893483e-01 4.882893e-05 7.153803e-05 6.285433e-01 -6.135931e-05 -3.715253e-05 2.126176e-06 -1.257453e-04
11551.200000 8.952241e-01 2.430682e-05 6.096706e-05 6.305682e-01 -5.912870e-05 -2.840081e-05 9.070040e-06 -1.215646e-04
11551.400000 8.735831e-01 5.793886e-05 1.041274e-04 6.140002e-01 -6.254311e-05 -3.766216e-05 1.735303e-05 -1.223929e-04
11551.600000 9.052536e-01 3.059205e-05 8.881936e-05 6.369111e-01 -6.677644e-05 -4.195779e-05 1.563827e-05 -1.120009e-04
11551.800000 9.103952e-01 4.489127e-05 1.083514e-04 6.397294e-01 -7.507342e-05 -3.165638e-05 5.698126e-06 -1.224516e-04
11552.000000 9.007431e-01 1.758479e-05 8.049604e-05 6.373431e-01 -7.492841e-05 -3.678194e-05 6.337781e-06 -1.163914e-04
